11.41	 A0:700	 A1:734	 A2:116


11.44	 A0:703	 A1:735	 A2:117


11.47	 A0:703	 A1:732	 A2:114


11.50	 A0:704	 A1:726	 A2:115


11.53	 A0:701	 A1:733	 A2:116


11.57	 A0:696	 A1:735	 A2:117


11.60	 A0:702	 A1:734	 A2:106


11.63	 A0:704	 A1:728	 A2:115


11.66	 A0:703	 A1:729	 A2:116


11.70	 A0:697	 A1:735	 A2:116


11.73	 A0:692	 A1:734	 A2:116


11.76	 A0:704	 A1:731	 A2:114


11.79	 A0:704	 A1:727	 A2:116


11.82	 A0:700	 A1:734	 A2:116


11.86	 A0:696	 A1:735	 A2:117


11.89	 A0:703	 A1:734	 A2:112


11.92	 A0:704	 A1:729	 A2:115


11.95	 A0:703	 A1:741	 A2:116


11.98	 A0:699	 A1:735	 A2:116


12.02	 A0:705	 A1:735	 A2:117


12.05	 A0:703	 A1:733	 A2:123


12.08	 A0:704	 A1:728	 A2:115


12.11	 A0:702	 A1:731	 A2:116


12.15	 A0:698	 A1:735	 A2:116


12.18	 A0:711	 A1:735	 A2:117


12.21	 A0:703	 A1:732	 A2:115


12.24	 A0:704	 A1:727	 A2:115


12.28	 A0:702	 A1:730	 A2:116


12.31	 A0:696	 A1:735	 A2:117


12.34	 A0:698	 A1:734	 A2:112


12.37	 A0:704	 A1:730	 A2:114


12.40	 A0:703	 A1:735	 A2:116


12.44	 A0:699	 A1:735	 A2:116


12.47	 A0:706	 A1:735	 A2:117


12.50	 A0:703	 A1:732	 A2:115


12.53	 A0:704	 A1:727	 A2:116


12.57	 A0:701	 A1:731	 A2:116


12.60	 A0:696	 A1:735	 A2:117


12.63	 A0:700	 A1:734	 A2:112


12.66	 A0:704	 A1:730	 A2:114


12.69	 A0:703	 A1:734	 A2:116


12.73	 A0:699	 A1:735	 A2:116


12.76	 A0:701	 A1:735	 A2:117


12.79	 A0:703	 A1:733	 A2:127


12.82	 A0:704	 A1:728	 A2:115


12.86	 A0:702	 A1:724	 A2:116


12.89	 A0:697	 A1:735	 A2:117


12.92	 A0:694	 A1:734	 A2:114


12.95	 A0:704	 A1:730	 A2:114


12.98	 A0:704	 A1:731	 A2:116


13.02	 A0:700	 A1:734	 A2:116


13.05	 A0:700	 A1:735	 A2:117


13.08	 A0:703	 A1:733	 A2:127


13.11	 A0:704	 A1:728	 A2:115


13.15	 A0:702	 A1:725	 A2:116


13.18	 A0:697	 A1:735	 A2:116


13.21	 A0:702	 A1:735	 A2:116


13.24	 A0:704	 A1:731	 A2:114


13.28	 A0:704	 A1:728	 A2:116


13.31	 A0:700	 A1:734	 A2:116


13.34	 A0:697	 A1:735	 A2:117


13.37	 A0:703	 A1:733	 A2:104


13.40	 A0:704	 A1:728	 A2:115


13.44	 A0:703	 A1:742	 A2:116


13.47	 A0:698	 A1:735	 A2:116


13.50	 A0:707	 A1:735	 A2:117


13.53	 A0:703	 A1:732	 A2:114


13.56	 A0:704	 A1:726	 A2:115


13.60	 A0:701	 A1:733	 A2:116


13.63	 A0:696	 A1:735	 A2:117


13.66	 A0:702	 A1:734	 A2:106


13.69	 A0:704	 A1:729	 A2:115


13.73	 A0:702	 A1:743	 A2:116


13.76	 A0:697	 A1:735	 A2:116


13.79	 A0:695	 A1:734	 A2:114


13.82	 A0:704	 A1:730	 A2:114


13.85	 A0:703	 A1:735	 A2:116


13.89	 A0:699	 A1:735	 A2:116


13.92	 A0:711	 A1:735	 A2:117


13.95	 A0:704	 A1:731	 A2:114


13.98	 A0:704	 A1:728	 A2:115


14.02	 A0:700	 A1:734	 A2:116


14.05	 A0:699	 A1:735	 A2:117


14.08	 A0:703	 A1:733	 A2:127


