Time,C0,C1,C2
38.07,598,695,533
38.10,588,691,528
38.13,586,688,523
38.17,590,691,528
38.20,593,696,533
38.23,586,688,525
38.26,589,690,526
38.29,579,679,511
38.33,586,689,525
38.36,588,690,526
38.39,580,683,516
38.42,586,689,525
38.46,588,690,527
38.49,573,676,535
38.52,586,689,526
38.55,588,690,527
38.58,583,681,534
38.62,587,689,526
38.65,589,690,527
38.68,581,675,509
38.71,587,689,526
38.75,589,690,528
38.78,573,679,516
38.81,587,689,526
38.84,588,690,527
38.87,596,702,545
38.91,587,689,526
38.94,588,689,526
38.97,602,700,540
39.00,587,690,527
39.04,587,689,526
39.07,598,696,536
39.10,588,691,528
39.13,587,689,526
39.16,596,695,535
39.20,589,691,528
39.23,588,689,526
39.26,597,695,535
39.29,589,691,528
39.33,587,689,526
39.36,596,694,533
39.39,589,691,528
39.42,587,689,526
39.45,594,693,532
39.49,590,692,530
39.52,587,689,525
39.55,592,692,530
39.58,591,694,532
39.62,587,689,525
39.65,591,691,529
39.68,594,696,536
39.71,587,689,526
39.74,590,691,528
39.78,598,685,510
39.81,587,689,526
39.84,589,690,527
39.87,593,706,543
39.91,587,690,527
39.94,589,690,527
39.97,604,701,542
40.00,588,690,527
40.04,588,689,526
40.07,599,697,536
40.10,588,691,527
40.13,587,689,525
40.16,594,693,532
40.20,590,691,530
40.23,587,689,525
40.26,592,692,529
40.29,592,693,532
40.33,587,688,525
40.36,591,691,529
40.39,593,695,534
40.42,587,689,525
40.45,590,691,528
40.49,596,697,527
40.52,587,689,525
40.55,589,690,527
40.58,579,699,544
40.61,587,689,526
40.65,588,689,526
40.68,601,698,538
40.71,588,690,527
40.74,587,689,525
40.78,594,692,530
40.81,591,693,531
40.84,587,689,524
40.87,590,690,527
40.90,589,679,535
40.94,587,689,525
40.97,588,689,525
41.00,598,695,533
41.03,590,691,528
41.07,587,689,524
41.10,591,691,527
41.13,593,695,533
41.16,587,689,524
41.20,591,691,527
41.23,596,697,536
41.26,587,689,524
41.29,590,690,525
41.32,587,681,526
41.36,587,689,524
41.39,589,689,526
41.42,602,702,541
41.45,588,690,526
41.49,588,689,525
41.52,597,694,533
41.55,590,691,528
41.58,587,689,524
41.61,592,691,528
41.65,594,696,536
41.68,587,689,524
41.71,589,690,526
41.74,604,702,540
41.78,588,690,526
41.81,587,689,524
41.84,593,691,529
41.87,593,695,534
41.90,587,688,524
41.94,589,690,525
41.97,604,700,538
42.00,588,690,526
