Time,C0,C1,C2
29.27,498,663,528
29.30,497,664,533
29.33,499,655,535
29.36,510,665,529
29.39,499,661,528
29.43,497,662,530
29.46,498,667,541
29.49,494,667,530
29.52,502,665,528
29.56,498,662,529
29.59,497,665,537
29.62,501,671,533
29.65,508,663,528
29.68,499,661,528
29.72,497,662,531
29.75,498,671,541
29.78,487,666,530
29.81,502,662,528
29.85,498,661,529
29.88,497,663,525
29.91,502,674,532
29.94,507,669,529
29.98,499,662,528
30.01,497,662,531
30.04,498,668,540
30.07,486,665,530
30.10,502,662,528
30.14,498,661,529
30.17,497,663,537
30.20,501,659,534
30.23,511,663,529
30.27,500,661,528
30.30,497,661,529
30.33,498,663,526
30.36,502,674,532
30.39,508,663,529
30.43,500,661,528
30.46,497,661,530
30.49,498,665,543
30.52,505,669,531
30.56,505,663,528
30.59,499,662,528
30.62,497,662,531
30.65,498,667,542
30.68,506,668,531
30.72,503,663,528
30.75,499,663,528
30.78,497,665,531
30.81,498,667,540
30.85,505,670,531
30.88,506,663,529
30.91,499,662,528
30.94,497,663,529
30.98,497,664,535
31.01,499,668,539
31.04,497,670,531
31.07,505,664,529
31.10,499,662,528
31.14,497,662,529
31.17,497,663,534
31.20,498,668,540
31.23,506,668,531
31.26,505,664,529
31.30,499,662,528
31.33,497,662,529
31.36,497,664,533
31.39,499,667,542
31.43,505,669,532
31.46,507,663,529
31.49,500,661,528
31.52,498,661,529
31.55,497,661,531
31.59,498,663,534
31.62,500,653,536
31.65,502,665,531
31.68,504,662,529
31.72,499,661,528
31.75,497,661,529
31.78,497,662,533
31.81,499,666,542
31.85,505,670,532
31.88,509,663,530
31.91,501,662,528
31.94,498,661,529
31.97,497,662,531
32.01,498,664,530
32.04,502,675,534
32.07,510,664,530
32.10,501,662,529
32.14,498,662,529
32.17,497,662,531
32.20,498,665,537
32.23,503,673,533
32.27,510,664,530
32.30,501,663,528
32.33,498,662,529
32.36,497,663,532
32.39,498,666,517
32.43,502,675,533
32.46,511,667,530
32.49,502,663,529
32.52,498,662,529
32.56,497,662,530
32.59,497,663,534
32.62,499,666,542
32.65,503,674,534
32.68,510,665,531
32.72,504,662,529
32.75,500,661,529
32.78,498,661,529
32.81,497,661,530
32.85,497,661,533
32.88,498,664,533
32.91,501,651,537
32.94,497,666,532
32.97,507,662,531
33.01,501,661,531
33.04,499,661,531
33.07,498,661,531
33.10,497,661,533
33.13,498,663,538
33.17,499,667,544
33.20,505,672,535
33.23,511,664,533
33.26,503,662,532
33.30,500,661,531
33.33,498,661,531
33.36,498,661,532
33.39,497,661,534
33.43,497,662,536
33.46,498,664,536
33.49,500,667,544
33.52,504,673,537
33.55,510,665,534
33.59,506,663,533
33.62,501,662,532
33.65,499,661,532
33.68,498,661,532
33.72,497,661,533
33.75,497,663,538
33.78,498,666,545
33.81,502,674,538
33.85,503,665,535
33.88,506,663,534
33.91,500,662,533
33.94,498,661,533
33.97,497,661,533
34.01,497,661,535
34.04,497,663,538
34.07,499,666,545
34.10,504,672,537
34.13,506,664,535
34.17,505,662,534
34.20,500,661,533
34.23,498,661,533
34.26,497,661,533
34.30,497,661,534
34.33,497,662,536
34.36,497,663,540
34.39,498,666,546
34.42,501,653,541
34.46,505,669,537
34.49,510,664,535
34.52,503,663,534
34.55,500,662,533
34.59,499,661,533
34.62,498,661,533
34.65,497,661,534
34.68,497,662,537
34.72,497,663,542
34.75,499,667,546
