,time,A0,A1,A2
570,17.98,704,725,115
571,18.01,701,733,116
572,18.05,695,735,117
573,18.08,702,734,106
574,18.11,704,729,115
575,18.14,703,739,116
576,18.18,698,735,116
577,18.21,706,735,117
578,18.24,703,732,113
579,18.27,704,726,115
580,18.30,702,729,116
581,18.34,696,735,116
582,18.37,693,735,116
583,18.40,704,731,114
584,18.43,704,726,116
585,18.47,701,733,116
586,18.50,696,735,116
587,18.53,700,734,112
588,18.56,704,730,114
589,18.59,703,730,116
590,18.63,700,734,116
591,18.66,697,735,117
592,18.69,702,734,106
593,18.72,704,729,114
594,18.76,703,734,116
595,18.79,700,734,116
596,18.82,698,735,117
597,18.85,702,734,106
598,18.88,704,729,114
599,18.92,703,729,116
600,18.95,700,734,116
601,18.98,695,735,117
602,19.01,700,734,115
603,19.05,704,731,114
604,19.08,704,726,115
605,19.11,701,732,116
606,19.14,696,735,116
607,19.17,698,734,112
608,19.21,704,731,114
609,19.24,704,729,115
610,19.27,700,734,116
611,19.30,697,735,117
612,19.34,702,734,104
613,19.37,704,729,114
614,19.40,703,735,115
615,19.43,700,734,116
616,19.47,699,735,117
617,19.50,703,733,116
618,19.53,704,728,115
619,19.56,703,742,116
620,19.59,698,735,116
621,19.63,702,735,117
622,19.66,703,733,127
623,19.69,704,728,115
624,19.72,703,743,116
625,19.76,699,735,116
626,19.79,701,735,117
627,19.82,703,733,122
628,19.85,704,729,114
629,19.88,703,734,115
630,19.92,700,733,116
631,19.95,696,735,116
632,19.98,695,735,117
633,20.01,703,732,117
634,20.04,704,728,115
635,20.08,703,737,116
636,20.11,700,734,116
637,20.14,696,735,117
638,20.17,694,735,116
639,20.21,704,732,119
640,20.24,704,728,115
641,20.27,703,734,116
642,20.30,700,734,116
643,20.34,695,735,117
644,20.37,698,735,116
645,20.40,704,732,114
646,20.43,704,726,115
647,20.46,702,724,116
648,20.50,697,735,116
649,20.53,710,735,117
650,20.56,703,733,123
651,20.59,704,728,115
652,20.63,702,739,116
653,20.66,698,735,116
654,20.69,703,735,117
655,20.72,703,733,127
656,20.75,704,728,115
657,20.79,703,741,115
658,20.82,699,735,116
659,20.85,698,735,117
660,20.88,703,734,104
661,20.92,704,730,114
662,20.95,704,730,116
663,20.98,701,733,116
664,21.01,696,735,117
