Time,D0,D1,D2
25.53,511,658,590
25.56,530,666,596
25.59,511,662,601
25.62,509,659,592
25.66,517,661,591
25.69,518,670,598
25.72,509,659,593
25.75,513,661,592
25.78,524,676,577
25.82,510,660,596
25.85,511,659,592
25.88,528,671,602
25.91,512,661,597
25.95,511,659,591
25.98,514,669,596
26.01,512,661,599
26.04,509,657,589
26.07,482,664,594
26.11,511,659,596
26.14,509,658,590
26.17,528,639,601
26.20,508,658,592
26.23,511,659,590
26.27,513,664,604
26.30,506,656,588
26.33,529,662,597
26.36,506,657,590
26.40,511,658,589
26.43,509,660,595
26.46,507,657,588
26.49,514,664,603
26.53,506,657,588
26.56,523,673,600
26.59,506,657,588
26.62,526,674,591
26.65,505,657,588
26.69,527,675,573
26.72,506,657,589
26.75,528,645,602
26.78,506,657,589
26.82,525,655,601
26.85,505,657,589
26.88,483,665,601
26.91,505,657,590
26.94,494,658,601
26.98,507,657,591
27.01,487,656,602
27.04,506,657,589
27.07,518,653,602
27.11,507,658,590
27.14,524,643,591
27.17,506,657,589
27.20,527,675,570
27.23,504,657,589
27.27,526,675,608
27.30,506,657,590
27.33,521,670,607
27.36,508,658,589
27.40,518,667,605
27.43,508,658,590
27.46,518,666,602
27.49,509,659,592
27.53,518,665,603
27.56,510,660,592
27.59,519,669,608
27.62,509,661,597
27.65,523,676,613
27.69,510,660,592
27.72,486,660,603
27.75,513,661,594
27.78,515,663,594
27.81,511,662,600
27.85,508,661,591
27.88,517,667,609
27.91,506,657,590
27.94,519,645,602
27.98,505,658,592
28.01,513,661,592
28.04,508,660,596
28.07,507,657,589
28.11,513,665,605
28.14,505,657,589
28.17,524,676,595
28.20,505,657,590
28.23,484,666,599
28.27,505,658,592
28.30,515,662,594
28.33,507,659,595
28.36,509,659,591
28.40,509,661,598
28.43,505,657,590
28.46,511,663,601
28.49,505,658,590
28.52,514,666,606
28.56,504,657,589
28.59,519,671,611
28.62,504,657,590
28.65,526,677,579
28.69,504,657,589
28.72,509,652,601
28.75,504,658,592
28.78,517,666,597
28.81,506,659,593
28.85,514,662,594
28.88,507,660,595
28.91,509,659,593
28.94,511,662,600
28.98,506,659,591
29.01,513,665,605
29.04,504,658,591
29.07,525,677,593
29.11,504,658,592
29.14,519,668,597
29.17,506,660,594
29.20,509,660,591
29.23,510,663,600
29.27,505,658,589
29.30,519,674,609
29.33,505,658,591
29.36,515,667,596
29.39,506,660,594
29.43,507,659,589
29.46,511,664,605
29.49,504,658,590
29.52,497,668,597
29.56,505,658,592
29.59,505,658,589
29.62,511,665,605
29.65,502,657,589
29.68,525,664,599
29.72,503,658,591
29.75,508,659,589
29.78,506,660,595
29.81,504,657,588
29.85,510,665,604
29.88,501,657,588
29.91,523,675,592
29.94,502,657,589
29.98,517,665,593
30.01,503,659,591
30.04,505,659,589
30.07,510,666,607
30.10,502,657,589
30.14,509,659,589
30.17,511,669,607
30.20,502,658,591
30.23,504,657,589
30.27,522,641,597
30.30,504,660,595
30.33,502,658,589
30.36,480,666,593
30.39,505,660,595
30.43,502,657,588
30.46,518,666,595
30.49,504,659,593
30.52,503,658,588
30.56,517,675,570
30.59,502,657,590
30.62,510,661,590
30.65,507,660,596
30.68,502,657,588
30.72,514,670,603
30.75,501,657,588
30.78,495,667,598
30.81,501,657,589
30.85,512,663,592
30.88,503,658,591
30.91,506,659,590
30.94,504,660,593
30.98,504,658,588
31.01,506,661,596
31.04,502,657,588
31.07,509,664,601
31.10,502,657,589
31.14,516,669,609
31.17,502,657,588
31.20,525,646,602
31.23,502,657,589
31.26,516,665,594
31.30,503,659,591
31.33,506,659,590
31.36,505,660,595
31.39,502,657,588
31.43,508,664,602
31.46,500,657,587
31.49,517,674,595
31.52,500,657,588
31.55,503,643,600
31.59,502,657,589
31.62,507,666,595
31.65,502,657,589
31.68,512,662,592
31.72,503,658,590
31.75,508,660,591
31.78,504,659,591
31.81,507,659,590
31.85,504,659,591
31.88,505,659,589
31.91,504,659,592
31.94,507,660,590
31.97,504,659,591
32.01,508,661,591
32.04,502,658,590
32.07,513,663,593
32.10,502,657,589
32.14,499,666,598
