Time,D0,D1,D2
36.65,444,620,553
36.68,456,627,561
36.71,447,620,555
36.75,446,618,554
36.78,463,630,567
36.81,445,618,554
36.84,447,619,554
36.88,430,620,538
36.91,444,618,552
36.94,449,620,556
36.97,451,623,559
37.00,445,617,553
37.04,456,625,562
37.07,446,619,554
37.10,446,618,554
37.13,437,629,566
37.17,444,617,552
37.20,449,620,556
37.23,450,622,557
37.26,445,618,553
37.29,459,627,564
37.33,446,618,553
37.36,447,619,555
37.39,457,626,559
37.42,445,618,553
37.46,452,622,558
37.49,448,620,555
37.52,446,618,553
37.55,466,633,570
37.58,445,618,553
37.62,449,620,556
37.65,454,624,560
37.68,445,617,553
37.71,455,624,561
37.75,447,619,554
37.78,447,618,554
37.81,431,626,563
37.84,445,617,553
37.87,451,621,557
37.91,450,621,556
37.94,446,618,553
37.97,467,634,564
38.00,445,618,553
38.04,451,621,558
38.07,448,620,555
38.10,447,618,554
38.13,428,607,536
38.17,446,618,553
38.20,453,623,560
38.23,447,619,554
38.26,447,619,555
38.29,446,627,564
38.33,446,618,553
38.36,457,627,564
38.39,447,619,553
38.42,449,621,556
38.46,451,623,557
38.49,447,619,554
38.52,456,620,547
38.55,446,617,553
38.58,456,624,563
38.62,447,618,554
38.65,449,620,556
38.68,452,622,557
38.71,447,618,554
38.75,463,635,571
38.78,446,618,553
38.81,453,623,560
38.84,448,619,555
38.87,449,619,556
38.91,456,625,560
38.94,447,618,554
38.97,467,633,571
39.00,447,618,554
39.04,454,624,561
39.07,448,619,554
39.10,450,620,557
39.13,454,623,558
39.16,447,619,554
39.20,469,633,542
39.23,447,618,554
39.26,455,624,561
39.29,448,620,554
39.33,450,621,556
39.36,455,625,559
39.39,447,619,554
39.42,466,635,571
39.45,447,621,554
39.49,453,623,558
39.52,450,622,556
39.55,448,622,555
39.58,428,612,542
39.62,447,618,554
39.65,455,623,560
39.68,449,619,556
39.71,449,619,555
39.74,436,609,562
39.78,448,617,554
39.81,456,623,562
39.84,449,618,555
39.87,450,618,556
39.91,460,626,563
39.94,448,617,554
39.97,459,625,564
40.00,449,618,555
40.04,450,619,557
40.07,458,625,562
40.10,448,618,555
40.13,462,628,568
40.16,449,618,555
40.20,451,620,558
40.23,454,623,559
40.26,448,618,555
40.29,466,632,571
40.33,448,618,555
40.36,453,621,558
40.39,453,622,558
40.42,448,619,555
40.45,469,635,570
40.49,448,619,554
40.52,453,624,558
40.55,454,626,559
40.58,449,621,555
40.61,466,634,570
40.65,449,622,555
40.68,452,623,558
40.71,454,624,559
40.74,449,620,556
40.78,470,635,569
40.81,449,618,555
40.84,454,621,560
40.87,452,620,557
40.90,450,619,556
40.94,435,620,550
40.97,449,618,555
41.00,456,623,562
41.03,451,619,557
41.07,451,619,557
41.10,460,627,565
41.13,449,618,556
41.16,463,628,568
41.20,450,618,556
41.23,454,621,560
41.26,454,621,558
41.29,450,619,557
41.32,432,606,563
41.36,450,618,556
41.39,461,626,567
41.42,450,618,556
41.45,453,620,560
41.49,455,622,560
41.52,450,618,557
41.55,457,631,565
