3.83	 D0:54	 D1:165	 D2:152

4.00	 C0:722	 C1:750	 C2:205
3.86	 D0:54	 D1:165	 D2:152

4.03	 C0:722	 C1:750	 C2:205
3.89	 D0:54	 D1:165	 D2:152

4.06	 C0:722	 C1:750	 C2:205
3.92	 D0:54	 D1:165	 D2:152

4.09	 C0:722	 C1:750	 C2:205
3.95	 D0:54	 D1:165	 D2:152

4.12	 C0:722	 C1:750	 C2:205
3.98	 D0:54	 D1:165	 D2:152

4.15	 C0:722	 C1:750	 C2:205
4.01	 D0:54	 D1:165	 D2:152

4.19	 C0:722	 C1:750	 C2:205
4.04	 D0:54	 D1:165	 D2:152

4.22	 C0:722	 C1:750	 C2:205
4.07	 D0:54	 D1:165	 D2:152

4.25	 C0:722	 C1:750	 C2:205
4.10	 D0:54	 D1:165	 D2:152

4.28	 C0:722	 C1:750	 C2:205
4.13	 D0:54	 D1:165	 D2:152

4.31	 C0:722	 C1:750	 C2:205
4.16	 D0:54	 D1:165	 D2:152

4.34	 C0:722	 C1:750	 C2:205
4.19	 D0:54	 D1:165	 D2:152

4.37	 C0:722	 C1:750	 C2:205
4.23	 D0:54	 D1:165	 D2:152

4.40	 C0:722	 C1:750	 C2:205
4.25	 D0:54	 D1:165	 D2:152

4.43	 C0:722	 C1:750	 C2:205
4.28	 D0:54	 D1:165	 D2:152

4.47	 C0:722	 C1:750	 C2:205
4.32	 D0:54	 D1:165	 D2:152

4.50	 C0:722	 C1:750	 C2:205
4.34	 D0:54	 D1:165	 D2:152

4.53	 C0:722	 C1:750	 C2:205
4.38	 D0:54	 D1:165	 D2:152

4.56	 C0:722	 C1:750	 C2:205
4.41	 D0:54	 D1:165	 D2:152

4.59	 C0:722	 C1:750	 C2:205
4.44	 D0:54	 D1:165	 D2:152

4.62	 C0:722	 C1:750	 C2:205
4.47	 D0:54	 D1:165	 D2:152

4.65	 C0:722	 C1:750	 C2:205
4.50	 D0:54	 D1:165	 D2:152

4.68	 C0:722	 C1:750	 C2:205
4.53	 D0:54	 D1:165	 D2:152

4.72	 C0:722	 C1:750	 C2:205
4.56	 D0:54	 D1:165	 D2:152

4.75	 C0:722	 C1:750	 C2:205
4.59	 D0:54	 D1:165	 D2:152

4.78	 C0:722	 C1:750	 C2:205
4.62	 D0:54	 D1:165	 D2:152

4.81	 C0:722	 C1:750	 C2:205
4.65	 D0:54	 D1:165	 D2:152

4.84	 C0:722	 C1:750	 C2:205
4.68	 D0:54	 D1:165	 D2:152

4.87	 C0:722	 C1:750	 C2:204
4.71	 D0:54	 D1:165	 D2:152

4.90	 C0:722	 C1:750	 C2:205
4.74	 D0:54	 D1:165	 D2:152

4.93	 C0:722	 C1:750	 C2:205
4.77	 D0:54	 D1:165	 D2:152

4.97	 C0:722	 C1:750	 C2:205
4.80	 D0:54	 D1:165	 D2:152

5.00	 C0:722	 C1:750	 C2:205
4.83	 D0:54	 D1:165	 D2:152

5.03	 C0:722	 C1:750	 C2:205
4.86	 D0:54	 D1:165	 D2:152

5.06	 C0:722	 C1:750	 C2:205
4.89	 D0:54	 D1:165	 D2:152

5.09	 C0:722	 C1:750	 C2:204
4.92	 D0:54	 D1:165	 D2:152

5.12	 C0:722	 C1:750	 C2:205
4.95	 D0:54	 D1:165	 D2:152

5.15	 C0:722	 C1:750	 C2:204
4.98	 D0:54	 D1:165	 D2:152

5.18	 C0:722	 C1:750	 C2:205
5.01	 D0:54	 D1:165	 D2:152

5.22	 C0:722	 C1:750	 C2:205
5.04	 D0:54	 D1:165	 D2:152

5.25	 C0:722	 C1:750	 C2:205
5.07	 D0:54	 D1:165	 D2:152

5.28	 C0:722	 C1:750	 C2:204
5.10	 D0:54	 D1:165	 D2:152

5.31	 C0:722	 C1:750	 C2:204
5.13	 D0:54	 D1:165	 D2:152

5.34	 C0:722	 C1:750	 C2:205
5.16	 D0:54	 D1:165	 D2:152

5.37	 C0:722	 C1:750	 C2:205
5.19	 D0:54	 D1:165	 D2:152

5.40	 C0:722	 C1:750	 C2:205
5.22	 D0:54	 D1:165	 D2:152

5.43	 C0:722	 C1:750	 C2:204
5.25	 D0:54	 D1:165	 D2:152

5.46	 C0:722	 C1:750	 C2:205
5.28	 D0:54	 D1:165	 D2:152

5.50	 C0:722	 C1:750	 C2:205
5.31	 D0:54	 D1:165	 D2:152

5.53	 C0:721	 C1:750	 C2:205
5.34	 D0:54	 D1:165	 D2:152

5.56	 C0:722	 C1:750	 C2:204
5.37	 D0:54	 D1:165	 D2:152

