2.06	 B0:233	 B1:327	 B2:138
1.92	 D0:22	 D1:113	 D2:69

2.02	 C0:66	 C1:302	 C2:115
2.02	 A0:88	 A1:512	 A2:221
2.10	 B0:233	 B1:327	 B2:138
1.95	 D0:22	 D1:113	 D2:69

2.05	 C0:66	 C1:302	 C2:116
2.05	 A0:88	 A1:512	 A2:221
2.13	 B0:233	 B1:327	 B2:138
1.98	 D0:22	 D1:113	 D2:68

2.08	 C0:66	 C1:302	 C2:116
2.08	 A0:88	 A1:512	 A2:221
2.16	 B0:233	 B1:327	 B2:138
2.01	 D0:22	 D1:113	 D2:69

2.11	 C0:66	 C1:302	 C2:116
2.11	 A0:88	 A1:512	 A2:221
2.19	 B0:233	 B1:327	 B2:138
2.04	 D0:22	 D1:112	 D2:69

2.14	 C0:65	 C1:302	 C2:116
2.14	 A0:88	 A1:512	 A2:221
2.22	 B0:233	 B1:327	 B2:138
2.07	 D0:22	 D1:113	 D2:69

2.17	 C0:66	 C1:302	 C2:116
2.17	 A0:88	 A1:512	 A2:221
2.25	 B0:233	 B1:327	 B2:138
2.10	 D0:22	 D1:113	 D2:69

2.20	 C0:66	 C1:302	 C2:116
2.20	 A0:88	 A1:512	 A2:221
2.28	 B0:233	 B1:327	 B2:138
2.13	 D0:22	 D1:113	 D2:69

2.23	 C0:66	 C1:302	 C2:116
2.23	 A0:88	 A1:512	 A2:221
2.31	 B0:233	 B1:327	 B2:138
2.16	 D0:22	 D1:113	 D2:69

2.26	 C0:66	 C1:302	 C2:116
2.26	 A0:88	 A1:512	 A2:221
2.34	 B0:233	 B1:327	 B2:138
2.18	 D0:22	 D1:113	 D2:69

2.29	 C0:66	 C1:302	 C2:115
2.29	 A0:88	 A1:512	 A2:221
2.38	 B0:233	 B1:327	 B2:138
2.21	 D0:22	 D1:113	 D2:69

2.32	 C0:66	 C1:302	 C2:115
2.32	 A0:88	 A1:512	 A2:221
2.41	 B0:233	 B1:327	 B2:138
2.24	 D0:22	 D1:113	 D2:69

2.36	 C0:66	 C1:302	 C2:115
2.36	 A0:88	 A1:512	 A2:221
2.44	 B0:233	 B1:327	 B2:138
2.27	 D0:22	 D1:113	 D2:69

2.38	 C0:66	 C1:302	 C2:116
2.38	 A0:88	 A1:512	 A2:221
2.47	 B0:233	 B1:327	 B2:138
2.30	 D0:22	 D1:113	 D2:69

2.42	 C0:66	 C1:302	 C2:116
2.42	 A0:88	 A1:512	 A2:222
2.50	 B0:233	 B1:327	 B2:138
2.33	 D0:22	 D1:113	 D2:69

2.45	 C0:66	 C1:302	 C2:116
2.45	 A0:88	 A1:512	 A2:222
2.53	 B0:233	 B1:327	 B2:138
2.36	 D0:22	 D1:113	 D2:69

2.48	 C0:66	 C1:302	 C2:116
2.48	 A0:88	 A1:512	 A2:221
2.56	 B0:233	 B1:327	 B2:138
2.39	 D0:22	 D1:113	 D2:69

2.51	 C0:66	 C1:302	 C2:116
2.51	 A0:88	 A1:512	 A2:221
2.59	 B0:233	 B1:327	 B2:138
2.42	 D0:22	 D1:113	 D2:69

2.54	 C0:66	 C1:302	 C2:116
2.54	 A0:88	 A1:512	 A2:221
2.63	 B0:233	 B1:327	 B2:138
2.45	 D0:22	 D1:113	 D2:69

2.57	 C0:66	 C1:302	 C2:116
2.57	 A0:88	 A1:512	 A2:221
2.66	 B0:233	 B1:327	 B2:138
2.48	 D0:22	 D1:113	 D2:69

2.60	 C0:66	 C1:302	 C2:115
2.60	 A0:88	 A1:512	 A2:221
2.69	 B0:233	 B1:327	 B2:138
2.50	 D0:22	 D1:113	 D2:69

2.63	 C0:66	 C1:302	 C2:116
2.63	 A0:88	 A1:512	 A2:221
2.72	 B0:233	 B1:327	 B2:138
2.53	 D0:22	 D1:113	 D2:69

2.66	 C0:66	 C1:302	 C2:116
2.66	 A0:88	 A1:512	 A2:221
2.75	 B0:233	 B1:327	 B2:138
2.56	 D0:22	 D1:113	 D2:69

2.69	 C0:66	 C1:302	 C2:116
2.69	 A0:88	 A1:512	 A2:221
2.78	 B0:233	 B1:327	 B2:138
2.59	 D0:22	 D1:113	 D2:69

2.72	 C0:66	 C1:302	 C2:115
2.72	 A0:88	 A1:512	 A2:221
2.81	 B0:233	 B1:327	 B2:138
2.62	 D0:22	 D1:113	 D2:69

2.75	 C0:66	 C1:302	 C2:115
2.75	 A0:88	 A1:512	 A2:221
2.84	 B0:233	 B1:327	 B2:138
2.65	 D0:22	 D1:113	 D2:69

2.78	 C0:66	 C1:302	 C2:116
2.78	 A0:88	 A1:512	 A2:221
2.87	 B0:233	 B1:327	 B2:138
2.68	 D0:22	 D1:113	 D2:69

2.81	 C0:66	 C1:302	 C2:116
2.81	 A0:88	 A1:512	 A2:222
2.91	 B0:233	 B1:327	 B2:138
2.71	 D0:22	 D1:113	 D2:69

2.84	 C0:66	 C1:302	 C2:116
2.84	 A0:88	 A1:512	 A2:221
2.94	 B0:233	 B1:327	 B2:138
2.74	 D0:22	 D1:113	 D2:69

2.87	 C0:66	 C1:302	 C2:116
2.87	 A0:88	 A1:512	 A2:222
2.97	 B0:233	 B1:327	 B2:138
2.77	 D0:22	 D1:113	 D2:69

2.90	 C0:66	 C1:302	 C2:116
2.90	 A0:88	 A1:512	 A2:221
3.00	 B0:233	 B1:327	 B2:138
2.80	 D0:22	 D1:113	 D2:69

2.93	 C0:66	 C1:302	 C2:116
2.93	 A0:88	 A1:512	 A2:221
3.03	 B0:233	 B1:327	 B2:138
2.83	 D0:22	 D1:113	 D2:69

2.96	 C0:65	 C1:302	 C2:116
2.96	 A0:88	 A1:512	 A2:221
3.06	 B0:233	 B1:327	 B2:138
