2.29	 A0:44	 A1:356	 A2:102

2.41	 B0:143	 B1:289	 B2:105
2.32	 C0:55	 C1:134	 C2:405
2.32	 D0:41	 D1:341	 D2:142
2.32	 A0:44	 A1:356	 A2:102

2.44	 B0:143	 B1:289	 B2:105
2.36	 C0:55	 C1:134	 C2:405
2.36	 D0:42	 D1:341	 D2:142
2.36	 A0:44	 A1:356	 A2:102

2.47	 B0:143	 B1:289	 B2:105
2.38	 C0:55	 C1:134	 C2:405
2.38	 D0:42	 D1:341	 D2:143
2.38	 A0:44	 A1:357	 A2:102

2.50	 B0:143	 B1:289	 B2:105
2.42	 C0:55	 C1:134	 C2:405
2.42	 D0:42	 D1:341	 D2:142
2.42	 A0:44	 A1:356	 A2:102

2.53	 B0:143	 B1:289	 B2:105
2.45	 C0:55	 C1:134	 C2:405
2.45	 D0:42	 D1:341	 D2:142
2.45	 A0:44	 A1:356	 A2:102

2.56	 B0:143	 B1:289	 B2:105
2.48	 C0:55	 C1:134	 C2:405
2.48	 D0:42	 D1:341	 D2:143
2.48	 A0:44	 A1:356	 A2:102

2.59	 B0:143	 B1:289	 B2:105
2.51	 C0:55	 C1:134	 C2:405
2.51	 D0:42	 D1:341	 D2:142
2.51	 A0:44	 A1:356	 A2:102

2.63	 B0:143	 B1:289	 B2:105
2.54	 C0:55	 C1:134	 C2:405
2.54	 D0:42	 D1:341	 D2:142
2.54	 A0:44	 A1:357	 A2:102

2.66	 B0:143	 B1:289	 B2:105
2.57	 C0:55	 C1:134	 C2:405
2.57	 D0:42	 D1:341	 D2:143
2.57	 A0:44	 A1:356	 A2:102

2.69	 B0:143	 B1:289	 B2:105
2.60	 C0:55	 C1:134	 C2:405
2.60	 D0:42	 D1:341	 D2:142
2.60	 A0:44	 A1:357	 A2:102

2.72	 B0:143	 B1:289	 B2:105
2.63	 C0:55	 C1:134	 C2:405
2.63	 D0:42	 D1:341	 D2:142
2.63	 A0:44	 A1:357	 A2:102

2.75	 B0:143	 B1:289	 B2:105
2.66	 C0:55	 C1:134	 C2:405
2.66	 D0:42	 D1:341	 D2:143
2.66	 A0:44	 A1:356	 A2:102

2.78	 B0:143	 B1:289	 B2:105
2.69	 C0:55	 C1:134	 C2:405
2.69	 D0:42	 D1:341	 D2:142
2.69	 A0:44	 A1:356	 A2:102

2.81	 B0:143	 B1:289	 B2:105
2.72	 C0:55	 C1:134	 C2:405
2.72	 D0:42	 D1:341	 D2:143
2.72	 A0:44	 A1:357	 A2:102

2.84	 B0:143	 B1:289	 B2:105
2.75	 C0:55	 C1:134	 C2:405
2.75	 D0:42	 D1:341	 D2:142
2.75	 A0:44	 A1:357	 A2:102

2.87	 B0:143	 B1:289	 B2:105
2.78	 C0:55	 C1:134	 C2:405
2.78	 D0:42	 D1:341	 D2:142
2.78	 A0:44	 A1:356	 A2:102

2.91	 B0:143	 B1:289	 B2:105
2.81	 C0:55	 C1:134	 C2:405
2.81	 D0:42	 D1:341	 D2:142
2.81	 A0:44	 A1:356	 A2:102

2.94	 B0:143	 B1:289	 B2:105
2.84	 C0:56	 C1:134	 C2:405
2.84	 D0:42	 D1:341	 D2:142
2.84	 A0:44	 A1:356	 A2:102

2.97	 B0:143	 B1:289	 B2:105
2.87	 C0:55	 C1:134	 C2:405
2.87	 D0:42	 D1:341	 D2:142
2.87	 A0:44	 A1:356	 A2:102

3.00	 B0:143	 B1:289	 B2:105
2.90	 C0:55	 C1:134	 C2:404
2.90	 D0:42	 D1:341	 D2:142
2.90	 A0:44	 A1:356	 A2:102

3.03	 B0:143	 B1:289	 B2:105
2.93	 C0:56	 C1:134	 C2:405
2.93	 D0:42	 D1:341	 D2:142
2.93	 A0:44	 A1:356	 A2:102

3.06	 B0:143	 B1:289	 B2:105
2.96	 C0:55	 C1:134	 C2:405
2.96	 D0:42	 D1:341	 D2:142
2.96	 A0:44	 A1:356	 A2:102

3.09	 B0:143	 B1:289	 B2:105
2.99	 C0:55	 C1:134	 C2:404
2.99	 D0:42	 D1:341	 D2:142
2.99	 A0:44	 A1:357	 A2:102

3.12	 B0:143	 B1:289	 B2:105
3.02	 C0:55	 C1:134	 C2:404
3.02	 D0:42	 D1:341	 D2:143
3.02	 A0:44	 A1:357	 A2:102

3.16	 B0:143	 B1:289	 B2:105
3.05	 C0:55	 C1:134	 C2:405
3.05	 D0:42	 D1:341	 D2:143
3.05	 A0:44	 A1:356	 A2:102

3.19	 B0:143	 B1:289	 B2:105
3.08	 C0:55	 C1:134	 C2:405
3.08	 D0:42	 D1:341	 D2:142
3.08	 A0:44	 A1:357	 A2:102

3.22	 B0:143	 B1:289	 B2:105
3.11	 C0:55	 C1:134	 C2:405
3.11	 D0:42	 D1:341	 D2:142
3.11	 A0:44	 A1:357	 A2:102

3.25	 B0:143	 B1:289	 B2:105
3.14	 C0:55	 C1:134	 C2:405
3.14	 D0:42	 D1:341	 D2:142
3.14	 A0:44	 A1:357	 A2:102

3.28	 B0:143	 B1:289	 B2:105
3.17	 C0:56	 C1:134	 C2:405
3.17	 D0:42	 D1:341	 D2:142
3.17	 A0:44	 A1:357	 A2:102

3.31	 B0:143	 B1:289	 B2:105
3.20	 C0:55	 C1:134	 C2:404
3.20	 D0:42	 D1:341	 D2:142
3.20	 A0:44	 A1:357	 A2:102

3.34	 B0:143	 B1:289	 B2:105
3.23	 C0:55	 C1:134	 C2:405
3.23	 D0:42	 D1:341	 D2:142
3.23	 A0:44	 A1:356	 A2:102

3.37	 B0:143	 B1:289	 B2:105
3.26	 C0:55	 C1:134	 C2:405
3.26	 D0:42	 D1:341	 D2:142
3.26	 A0:44	 A1:357	 A2:102

3.40	 B0:143	 B1:289	 B2:105
3.29	 C0:55	 C1:134	 C2:405
3.29	 D0:42	 D1:341	 D2:142
3.29	 A0:44	 A1:357	 A2:102

3.44	 B0:143	 B1:289	 B2:105
3.32	 C0:56	 C1:134	 C2:404
3.32	 D0:42	 D1:341	 D2:142
3.32	 A0:44	 A1:357	 A2:102

3.47	 B0:143	 B1:289	 B2:105
3.35	 C0:56	 C1:134	 C2:404
3.35	 D0:42	 D1:341	 D2:142
3.35	 A0:44	 A1:357	 A2:102

3.50	 B0:143	 B1:289	 B2:105
3.38	 C0:56	 C1:134	 C2:404
3.38	 D0:42	 D1:341	 D2:142
3.38	 A0:44	 A1:357	 A2:102

3.53	 B0:143	 B1:289	 B2:105
3.41	 C0:55	 C1:134	 C2:405
3.41	 D0:42	 D1:341	 D2:142
3.41	 A0:44	 A1:357	 A2:102

3.56	 B0:143	 B1:289	 B2:105
3.44	 C0:55	 C1:134	 C2:404
3.44	 D0:42	 D1:341	 D2:142
3.44	 A0:44	 A1:357	 A2:102

3.59	 B0:143	 B1:289	 B2:105
3.47	 C0:55	 C1:134	 C2:405
3.47	 D0:41	 D1:341	 D2:142
3.47	 A0:44	 A1:357	 A2:102

3.62	 B0:143	 B1:289	 B2:105
3.50	 C0:55	 C1:134	 C2:404
3.50	 D0:42	 D1:341	 D2:142
3.50	 A0:44	 A1:357	 A2:102

3.65	 B0:143	 B1:289	 B2:105
3.53	 C0:55	 C1:134	 C2:404
3.53	 D0:42	 D1:341	 D2:142
3.53	 A0:44	 A1:357	 A2:102

3.69	 B0:143	 B1:289	 B2:105
3.56	 C0:55	 C1:134	 C2:405
3.56	 D0:42	 D1:341	 D2:142
3.56	 A0:44	 A1:357	 A2:102

3.72	 B0:143	 B1:289	 B2:105
3.59	 C0:55	 C1:134	 C2:404
3.59	 D0:42	 D1:341	 D2:143
3.59	 A0:44	 A1:357	 A2:102

3.75	 B0:143	 B1:289	 B2:105
3.62	 C0:55	 C1:134	 C2:404
3.62	 D0:42	 D1:341	 D2:142
3.62	 A0:44	 A1:357	 A2:102

3.78	 B0:143	 B1:289	 B2:105
3.65	 C0:55	 C1:134	 C2:405
3.65	 D0:42	 D1:341	 D2:142
3.65	 A0:44	 A1:357	 A2:102

3.81	 B0:143	 B1:289	 B2:105
3.68	 C0:55	 C1:134	 C2:404
3.68	 D0:42	 D1:341	 D2:142
3.68	 A0:44	 A1:357	 A2:102

3.84	 B0:143	 B1:289	 B2:105
3.71	 C0:55	 C1:134	 C2:405
