3.47	 B0:288	 B1:400	 B2:156
3.23	 D0:32	 D1:160	 D2:66

3.38	 C0:82	 C1:370	 C2:142
3.50	 A0:123	 A1:544	 A2:249
3.50	 B0:287	 B1:400	 B2:156
3.26	 D0:32	 D1:160	 D2:66

3.41	 C0:82	 C1:370	 C2:143
3.53	 A0:123	 A1:544	 A2:249
3.53	 B0:287	 B1:400	 B2:156
3.29	 D0:32	 D1:160	 D2:66

3.44	 C0:82	 C1:369	 C2:142
3.56	 A0:122	 A1:544	 A2:249
3.56	 B0:287	 B1:400	 B2:157
3.32	 D0:32	 D1:160	 D2:66

3.47	 C0:82	 C1:369	 C2:142
3.59	 A0:122	 A1:544	 A2:249
3.59	 B0:288	 B1:400	 B2:156
3.35	 D0:32	 D1:160	 D2:66

3.50	 C0:82	 C1:370	 C2:142
3.62	 A0:122	 A1:544	 A2:249
3.62	 B0:287	 B1:400	 B2:156
3.38	 D0:32	 D1:160	 D2:66

3.53	 C0:82	 C1:369	 C2:143
3.65	 A0:122	 A1:544	 A2:249
3.65	 B0:287	 B1:400	 B2:156
3.41	 D0:31	 D1:160	 D2:66

3.56	 C0:82	 C1:370	 C2:142
3.69	 A0:122	 A1:544	 A2:249
3.69	 B0:288	 B1:400	 B2:156
3.44	 D0:32	 D1:160	 D2:66

3.59	 C0:82	 C1:369	 C2:142
3.72	 A0:122	 A1:544	 A2:249
3.72	 B0:288	 B1:400	 B2:156
3.47	 D0:32	 D1:160	 D2:66

3.62	 C0:82	 C1:369	 C2:142
3.75	 A0:122	 A1:544	 A2:249
3.75	 B0:288	 B1:400	 B2:156
3.49	 D0:32	 D1:160	 D2:66

3.65	 C0:82	 C1:370	 C2:142
3.78	 A0:123	 A1:544	 A2:249
3.78	 B0:287	 B1:400	 B2:156
3.52	 D0:32	 D1:160	 D2:66

3.68	 C0:82	 C1:370	 C2:142
3.81	 A0:122	 A1:544	 A2:249
3.81	 B0:287	 B1:400	 B2:156
3.55	 D0:32	 D1:160	 D2:66

3.71	 C0:82	 C1:369	 C2:142
3.84	 A0:123	 A1:544	 A2:249
3.84	 B0:288	 B1:400	 B2:156
3.58	 D0:31	 D1:160	 D2:66

3.74	 C0:82	 C1:370	 C2:142
3.87	 A0:122	 A1:544	 A2:249
3.87	 B0:288	 B1:400	 B2:156
3.61	 D0:31	 D1:160	 D2:66

3.77	 C0:82	 C1:370	 C2:142
