3.59	 D0:50	 D1:414	 D2:135
3.59	 A0:50	 A1:380	 A2:110

3.75	 B0:160	 B1:323	 B2:114
3.62	 C0:70	 C1:155	 C2:479
3.62	 D0:50	 D1:414	 D2:134
3.62	 A0:50	 A1:380	 A2:110

3.78	 B0:160	 B1:324	 B2:114
3.65	 C0:70	 C1:155	 C2:479
3.65	 D0:50	 D1:414	 D2:135
3.65	 A0:50	 A1:380	 A2:110

3.81	 B0:160	 B1:324	 B2:114
3.68	 C0:70	 C1:155	 C2:479
3.68	 D0:50	 D1:414	 D2:135
3.68	 A0:50	 A1:380	 A2:110

3.84	 B0:160	 B1:323	 B2:114
3.71	 C0:70	 C1:154	 C2:479
3.71	 D0:50	 D1:414	 D2:135
3.71	 A0:50	 A1:380	 A2:110

3.87	 B0:160	 B1:324	 B2:114
3.74	 C0:70	 C1:155	 C2:479
3.74	 D0:50	 D1:414	 D2:135
3.74	 A0:50	 A1:380	 A2:110

3.90	 B0:160	 B1:323	 B2:114
3.77	 C0:70	 C1:155	 C2:479
3.77	 D0:50	 D1:414	 D2:135
3.77	 A0:50	 A1:380	 A2:110

3.94	 B0:160	 B1:323	 B2:114
3.80	 C0:70	 C1:155	 C2:479
3.80	 D0:50	 D1:414	 D2:135
3.80	 A0:50	 A1:380	 A2:110

3.97	 B0:160	 B1:323	 B2:114
3.83	 C0:70	 C1:154	 C2:479
3.83	 D0:50	 D1:414	 D2:135
3.83	 A0:50	 A1:380	 A2:110

4.00	 B0:160	 B1:323	 B2:114
3.86	 C0:70	 C1:155	 C2:479
3.86	 D0:50	 D1:414	 D2:135
3.86	 A0:50	 A1:380	 A2:110

4.03	 B0:160	 B1:324	 B2:114
3.89	 C0:70	 C1:155	 C2:479
3.89	 D0:50	 D1:414	 D2:135
3.89	 A0:50	 A1:380	 A2:110

4.06	 B0:160	 B1:323	 B2:114
3.92	 C0:70	 C1:155	 C2:479
3.92	 D0:50	 D1:414	 D2:135
3.92	 A0:50	 A1:380	 A2:110

4.09	 B0:160	 B1:324	 B2:114
3.95	 C0:70	 C1:155	 C2:479
3.95	 D0:50	 D1:414	 D2:134
3.95	 A0:50	 A1:380	 A2:109

4.12	 B0:160	 B1:324	 B2:114
3.98	 C0:70	 C1:154	 C2:479
3.98	 D0:50	 D1:414	 D2:135
3.98	 A0:50	 A1:380	 A2:110

4.15	 B0:160	 B1:323	 B2:114
4.01	 C0:70	 C1:154	 C2:479
4.01	 D0:50	 D1:414	 D2:135
4.01	 A0:50	 A1:380	 A2:110

4.19	 B0:160	 B1:323	 B2:114
4.04	 C0:70	 C1:154	 C2:479
4.04	 D0:50	 D1:414	 D2:134
4.04	 A0:50	 A1:380	 A2:110

4.22	 B0:160	 B1:323	 B2:114
4.07	 C0:70	 C1:155	 C2:479
4.07	 D0:50	 D1:414	 D2:135
4.07	 A0:50	 A1:380	 A2:110

4.25	 B0:160	 B1:324	 B2:115
4.10	 C0:70	 C1:155	 C2:479
4.10	 D0:50	 D1:414	 D2:134
4.10	 A0:50	 A1:380	 A2:110

4.28	 B0:160	 B1:323	 B2:114
4.13	 C0:70	 C1:154	 C2:479
4.13	 D0:50	 D1:414	 D2:135
4.13	 A0:50	 A1:380	 A2:110

4.31	 B0:160	 B1:323	 B2:114
4.16	 C0:70	 C1:154	 C2:479
4.16	 D0:50	 D1:413	 D2:135
4.16	 A0:50	 A1:380	 A2:110

4.34	 B0:160	 B1:324	 B2:114
4.19	 C0:70	 C1:155	 C2:479
4.19	 D0:50	 D1:413	 D2:135
4.19	 A0:50	 A1:380	 A2:110

4.37	 B0:160	 B1:323	 B2:114
4.23	 C0:70	 C1:155	 C2:479
4.23	 D0:50	 D1:414	 D2:135
4.23	 A0:50	 A1:380	 A2:110

4.40	 B0:160	 B1:324	 B2:114
4.25	 C0:70	 C1:155	 C2:479
4.25	 D0:50	 D1:414	 D2:135
4.25	 A0:50	 A1:380	 A2:110

4.43	 B0:160	 B1:323	 B2:114
4.28	 C0:70	 C1:154	 C2:479
4.28	 D0:50	 D1:414	 D2:135
4.28	 A0:50	 A1:380	 A2:110

4.47	 B0:160	 B1:323	 B2:114
4.32	 C0:70	 C1:154	 C2:479
4.32	 D0:50	 D1:414	 D2:135
4.32	 A0:50	 A1:380	 A2:110

4.50	 B0:160	 B1:323	 B2:115
4.34	 C0:70	 C1:154	 C2:479
