6.23	 D0:17	 D1:97	 D2:88

6.96	 C0:718	 C1:750	 C2:125
6.26	 D0:17	 D1:97	 D2:89

6.99	 C0:718	 C1:750	 C2:124
6.29	 D0:18	 D1:97	 D2:88

7.02	 C0:718	 C1:750	 C2:124
6.32	 D0:17	 D1:97	 D2:88

7.05	 C0:718	 C1:750	 C2:124
6.34	 D0:17	 D1:97	 D2:89

7.09	 C0:718	 C1:750	 C2:124
6.37	 D0:17	 D1:97	 D2:89

7.12	 C0:718	 C1:750	 C2:124
6.40	 D0:17	 D1:97	 D2:89

7.15	 C0:718	 C1:750	 C2:124
6.43	 D0:18	 D1:97	 D2:89

7.18	 C0:718	 C1:750	 C2:124
6.46	 D0:18	 D1:97	 D2:89

7.21	 C0:718	 C1:750	 C2:124
6.48	 D0:17	 D1:97	 D2:89

7.24	 C0:718	 C1:750	 C2:124
6.51	 D0:17	 D1:97	 D2:89

7.27	 C0:718	 C1:750	 C2:124
6.54	 D0:17	 D1:97	 D2:89

7.30	 C0:718	 C1:750	 C2:124
6.57	 D0:18	 D1:97	 D2:89

7.34	 C0:718	 C1:750	 C2:124
6.60	 D0:18	 D1:97	 D2:89

7.37	 C0:718	 C1:750	 C2:125
6.63	 D0:17	 D1:97	 D2:89

7.40	 C0:718	 C1:750	 C2:124
6.65	 D0:17	 D1:97	 D2:89

7.43	 C0:718	 C1:750	 C2:125
6.68	 D0:18	 D1:97	 D2:89

7.46	 C0:718	 C1:750	 C2:124
6.71	 D0:17	 D1:97	 D2:89

7.49	 C0:718	 C1:750	 C2:124
6.74	 D0:17	 D1:97	 D2:89

7.52	 C0:718	 C1:750	 C2:124
6.76	 D0:18	 D1:97	 D2:89

7.55	 C0:718	 C1:750	 C2:124
6.79	 D0:18	 D1:97	 D2:89

7.59	 C0:718	 C1:750	 C2:124
6.82	 D0:17	 D1:97	 D2:89

7.62	 C0:718	 C1:750	 C2:124
6.85	 D0:17	 D1:97	 D2:89

7.65	 C0:718	 C1:750	 C2:125
6.88	 D0:17	 D1:97	 D2:89

7.68	 C0:718	 C1:750	 C2:124
6.91	 D0:18	 D1:97	 D2:89

7.71	 C0:718	 C1:750	 C2:124
6.93	 D0:18	 D1:97	 D2:89

7.74	 C0:718	 C1:750	 C2:124
6.96	 D0:17	 D1:97	 D2:89

7.77	 C0:718	 C1:750	 C2:124
6.99	 D0:17	 D1:97	 D2:89

7.80	 C0:718	 C1:751	 C2:124
7.02	 D0:17	 D1:97	 D2:89

7.84	 C0:718	 C1:750	 C2:124
7.05	 D0:17	 D1:97	 D2:89

7.87	 C0:718	 C1:750	 C2:125
7.07	 D0:17	 D1:97	 D2:89

7.90	 C0:718	 C1:750	 C2:124
7.10	 D0:17	 D1:97	 D2:89

7.93	 C0:718	 C1:750	 C2:124
7.13	 D0:17	 D1:97	 D2:89

7.96	 C0:718	 C1:750	 C2:124
7.16	 D0:17	 D1:97	 D2:89

7.99	 C0:718	 C1:750	 C2:124
7.19	 D0:17	 D1:97	 D2:89

8.02	 C0:718	 C1:750	 C2:124
7.22	 D0:17	 D1:97	 D2:89

8.05	 C0:718	 C1:750	 C2:124
7.24	 D0:18	 D1:97	 D2:89

8.09	 C0:718	 C1:750	 C2:124
7.27	 D0:17	 D1:97	 D2:89

8.12	 C0:718	 C1:750	 C2:124
7.30	 D0:17	 D1:97	 D2:89

8.15	 C0:718	 C1:750	 C2:124
7.33	 D0:18	 D1:97	 D2:89

8.18	 C0:718	 C1:750	 C2:125
7.36	 D0:17	 D1:97	 D2:89

8.21	 C0:718	 C1:750	 C2:125
7.38	 D0:18	 D1:97	 D2:89

8.24	 C0:718	 C1:750	 C2:125
7.41	 D0:17	 D1:97	 D2:89

8.27	 C0:718	 C1:750	 C2:124
7.44	 D0:18	 D1:97	 D2:89

8.30	 C0:718	 C1:750	 C2:125
7.47	 D0:18	 D1:97	 D2:89

8.33	 C0:718	 C1:750	 C2:124
7.50	 D0:18	 D1:97	 D2:89

8.37	 C0:718	 C1:750	 C2:124
7.52	 D0:17	 D1:97	 D2:89

8.40	 C0:718	 C1:750	 C2:125
7.55	 D0:17	 D1:97	 D2:89

8.43	 C0:718	 C1:751	 C2:124
7.58	 D0:18	 D1:97	 D2:89

8.46	 C0:718	 C1:750	 C2:125
7.61	 D0:17	 D1:97	 D2:89

8.49	 C0:718	 C1:750	 C2:124
7.64	 D0:17	 D1:97	 D2:90

8.52	 C0:718	 C1:750	 C2:124
7.66	 D0:17	 D1:97	 D2:90

8.55	 C0:718	 C1:750	 C2:124
7.69	 D0:18	 D1:97	 D2:89

8.58	 C0:718	 C1:750	 C2:124
7.72	 D0:17	 D1:97	 D2:89

8.61	 C0:718	 C1:750	 C2:124
7.75	 D0:17	 D1:97	 D2:90

8.65	 C0:718	 C1:750	 C2:124
7.78	 D0:17	 D1:97	 D2:90

8.68	 C0:718	 C1:750	 C2:124
7.80	 D0:17	 D1:97	 D2:89

8.71	 C0:718	 C1:750	 C2:124
7.83	 D0:17	 D1:97	 D2:90

8.74	 C0:718	 C1:750	 C2:124
7.86	 D0:17	 D1:97	 D2:90

8.77	 C0:718	 C1:750	 C2:124
7.89	 D0:18	 D1:97	 D2:90

8.80	 C0:718	 C1:750	 C2:124
7.92	 D0:18	 D1:97	 D2:90

8.83	 C0:718	 C1:750	 C2:124
7.95	 D0:17	 D1:97	 D2:90

8.86	 C0:718	 C1:751	 C2:124
7.97	 D0:17	 D1:97	 D2:90

8.90	 C0:718	 C1:750	 C2:125
8.00	 D0:18	 D1:97	 D2:90

8.93	 C0:718	 C1:750	 C2:124
8.03	 D0:18	 D1:97	 D2:90

8.96	 C0:718	 C1:750	 C2:124
8.06	 D0:17	 D1:97	 D2:89

8.99	 C0:718	 C1:751	 C2:124
8.09	 D0:17	 D1:97	 D2:90

9.02	 C0:718	 C1:750	 C2:125
8.11	 D0:17	 D1:97	 D2:90

9.05	 C0:718	 C1:750	 C2:125
8.14	 D0:17	 D1:97	 D2:90

9.08	 C0:718	 C1:750	 C2:124
8.17	 D0:17	 D1:97	 D2:90

9.11	 C0:718	 C1:750	 C2:125
8.20	 D0:17	 D1:97	 D2:90

9.15	 C0:718	 C1:751	 C2:124
8.23	 D0:17	 D1:97	 D2:90

9.18	 C0:718	 C1:751	 C2:124
8.25	 D0:17	 D1:97	 D2:90

9.21	 C0:718	 C1:750	 C2:124
8.28	 D0:17	 D1:97	 D2:90

9.24	 C0:718	 C1:750	 C2:124
8.31	 D0:18	 D1:97	 D2:90

9.27	 C0:718	 C1:751	 C2:124
8.34	 D0:17	 D1:97	 D2:90

9.30	 C0:718	 C1:750	 C2:125
8.37	 D0:17	 D1:97	 D2:90

9.33	 C0:718	 C1:750	 C2:124
8.39	 D0:18	 D1:97	 D2:90

9.36	 C0:718	 C1:750	 C2:124
8.42	 D0:17	 D1:97	 D2:90

9.40	 C0:718	 C1:751	 C2:125
8.45	 D0:17	 D1:97	 D2:90

9.43	 C0:718	 C1:751	 C2:124
8.48	 D0:17	 D1:97	 D2:90

9.46	 C0:718	 C1:750	 C2:124
8.51	 D0:17	 D1:97	 D2:90

9.49	 C0:718	 C1:750	 C2:124
8.53	 D0:17	 D1:97	 D2:90

9.52	 C0:718	 C1:750	 C2:125
8.56	 D0:18	 D1:97	 D2:90

9.55	 C0:718	 C1:750	 C2:124
8.59	 D0:18	 D1:97	 D2:90

9.58	 C0:718	 C1:750	 C2:125
8.62	 D0:17	 D1:97	 D2:90

9.61	 C0:718	 C1:750	 C2:125
8.65	 D0:18	 D1:97	 D2:90

