2.90	 D0:40	 D1:307	 D2:127
2.80	 A0:39	 A1:324	 A2:89

3.03	 B0:132	 B1:264	 B2:106
2.93	 C0:55	 C1:142	 C2:373
2.93	 D0:39	 D1:307	 D2:127
2.83	 A0:39	 A1:324	 A2:88

3.06	 B0:132	 B1:264	 B2:106
2.96	 C0:55	 C1:142	 C2:373
2.96	 D0:39	 D1:307	 D2:127
2.85	 A0:39	 A1:324	 A2:89

3.09	 B0:132	 B1:263	 B2:106
2.99	 C0:55	 C1:142	 C2:373
2.99	 D0:39	 D1:307	 D2:127
2.88	 A0:39	 A1:324	 A2:88

3.12	 B0:132	 B1:264	 B2:106
3.02	 C0:55	 C1:143	 C2:373
3.02	 D0:39	 D1:307	 D2:127
2.91	 A0:39	 A1:324	 A2:89

3.16	 B0:132	 B1:263	 B2:106
3.05	 C0:55	 C1:142	 C2:373
3.05	 D0:39	 D1:307	 D2:127
2.94	 A0:39	 A1:324	 A2:88

3.19	 B0:132	 B1:264	 B2:106
3.08	 C0:55	 C1:142	 C2:373
3.08	 D0:40	 D1:307	 D2:127
2.97	 A0:39	 A1:324	 A2:89

3.22	 B0:132	 B1:263	 B2:106
3.11	 C0:55	 C1:143	 C2:373
3.11	 D0:39	 D1:307	 D2:127
3.00	 A0:39	 A1:324	 A2:89

3.25	 B0:132	 B1:264	 B2:106
3.14	 C0:55	 C1:142	 C2:373
3.14	 D0:39	 D1:307	 D2:127
3.03	 A0:39	 A1:324	 A2:89

3.28	 B0:132	 B1:263	 B2:106
3.17	 C0:55	 C1:142	 C2:373
3.17	 D0:39	 D1:307	 D2:127
3.06	 A0:39	 A1:324	 A2:88

3.31	 B0:132	 B1:263	 B2:106
3.20	 C0:55	 C1:143	 C2:373
3.20	 D0:39	 D1:307	 D2:127
3.09	 A0:39	 A1:324	 A2:88

3.34	 B0:132	 B1:263	 B2:106
3.23	 C0:55	 C1:143	 C2:373
3.23	 D0:39	 D1:307	 D2:127
3.12	 A0:39	 A1:324	 A2:89

3.37	 B0:132	 B1:263	 B2:106
3.26	 C0:55	 C1:142	 C2:373
3.26	 D0:40	 D1:307	 D2:127
3.14	 A0:39	 A1:324	 A2:89

3.40	 B0:132	 B1:264	 B2:106
3.29	 C0:55	 C1:142	 C2:373
3.29	 D0:39	 D1:307	 D2:127
3.17	 A0:39	 A1:324	 A2:88

3.44	 B0:132	 B1:263	 B2:106
3.32	 C0:55	 C1:142	 C2:373
3.32	 D0:39	 D1:307	 D2:127
3.20	 A0:39	 A1:324	 A2:88

3.47	 B0:132	 B1:263	 B2:106
3.35	 C0:55	 C1:142	 C2:373
3.35	 D0:39	 D1:307	 D2:127
3.23	 A0:39	 A1:324	 A2:88

3.50	 B0:132	 B1:263	 B2:105
3.38	 C0:55	 C1:142	 C2:373
3.38	 D0:39	 D1:307	 D2:127
3.26	 A0:39	 A1:324	 A2:89

3.53	 B0:132	 B1:263	 B2:106
3.41	 C0:55	 C1:142	 C2:372
3.41	 D0:39	 D1:307	 D2:127
3.29	 A0:39	 A1:324	 A2:89

3.56	 B0:132	 B1:264	 B2:106
3.44	 C0:55	 C1:143	 C2:373
3.44	 D0:40	 D1:307	 D2:127
3.32	 A0:39	 A1:324	 A2:88

3.59	 B0:132	 B1:264	 B2:106
3.47	 C0:55	 C1:143	 C2:373
3.47	 D0:39	 D1:307	 D2:127
3.35	 A0:39	 A1:324	 A2:88

3.62	 B0:132	 B1:263	 B2:106
3.50	 C0:55	 C1:143	 C2:373
3.50	 D0:39	 D1:307	 D2:127
3.38	 A0:39	 A1:324	 A2:89

3.65	 B0:132	 B1:264	 B2:106
3.53	 C0:55	 C1:142	 C2:373
3.53	 D0:39	 D1:307	 D2:127
3.41	 A0:39	 A1:324	 A2:88

3.69	 B0:132	 B1:264	 B2:106
3.56	 C0:55	 C1:143	 C2:374
3.56	 D0:39	 D1:307	 D2:127
3.44	 A0:39	 A1:324	 A2:88

3.72	 B0:132	 B1:264	 B2:106
3.59	 C0:55	 C1:142	 C2:374
3.59	 D0:39	 D1:307	 D2:127
3.47	 A0:39	 A1:324	 A2:88

3.75	 B0:132	 B1:264	 B2:106
3.62	 C0:55	 C1:143	 C2:373
3.62	 D0:39	 D1:306	 D2:127
3.49	 A0:39	 A1:324	 A2:88

3.78	 B0:132	 B1:264	 B2:106
3.65	 C0:55	 C1:143	 C2:374
3.65	 D0:39	 D1:307	 D2:127
3.52	 A0:39	 A1:324	 A2:88

3.81	 B0:132	 B1:263	 B2:106
3.68	 C0:55	 C1:143	 C2:374
3.68	 D0:39	 D1:307	 D2:127
3.55	 A0:39	 A1:324	 A2:88

3.84	 B0:132	 B1:263	 B2:106
3.71	 C0:55	 C1:143	 C2:374
3.71	 D0:39	 D1:307	 D2:127
3.58	 A0:39	 A1:324	 A2:88

3.87	 B0:133	 B1:263	 B2:106
3.74	 C0:55	 C1:142	 C2:374
3.74	 D0:39	 D1:307	 D2:127
3.61	 A0:39	 A1:324	 A2:88

3.90	 B0:132	 B1:264	 B2:105
3.77	 C0:55	 C1:142	 C2:374
3.77	 D0:39	 D1:307	 D2:127
3.64	 A0:39	 A1:324	 A2:88

3.94	 B0:132	 B1:263	 B2:106
3.80	 C0:55	 C1:143	 C2:374
3.80	 D0:39	 D1:307	 D2:127
3.67	 A0:39	 A1:324	 A2:88

3.97	 B0:132	 B1:264	 B2:106
3.83	 C0:55	 C1:143	 C2:374
3.83	 D0:39	 D1:307	 D2:127
3.70	 A0:39	 A1:324	 A2:89

4.00	 B0:132	 B1:264	 B2:105
3.86	 C0:55	 C1:143	 C2:373
3.86	 D0:39	 D1:307	 D2:127
3.73	 A0:39	 A1:324	 A2:88

4.03	 B0:132	 B1:263	 B2:106
3.89	 C0:55	 C1:143	 C2:373
3.89	 D0:39	 D1:307	 D2:127
