2.78	 A0:76	 A1:489	 A2:207
2.87	 B0:207	 B1:296	 B2:129
2.68	 D0:19	 D1:110	 D2:47

2.81	 C0:59	 C1:263	 C2:114
2.81	 A0:76	 A1:489	 A2:207
2.91	 B0:207	 B1:296	 B2:129
2.71	 D0:19	 D1:110	 D2:47

2.84	 C0:58	 C1:263	 C2:114
2.84	 A0:76	 A1:488	 A2:207
2.94	 B0:207	 B1:296	 B2:129
2.74	 D0:19	 D1:110	 D2:47

2.87	 C0:58	 C1:263	 C2:114
2.87	 A0:76	 A1:489	 A2:208
2.97	 B0:207	 B1:296	 B2:129
2.77	 D0:19	 D1:110	 D2:47

2.90	 C0:58	 C1:263	 C2:114
2.90	 A0:76	 A1:489	 A2:207
3.00	 B0:207	 B1:296	 B2:129
2.80	 D0:19	 D1:110	 D2:48

2.93	 C0:58	 C1:263	 C2:113
2.93	 A0:76	 A1:488	 A2:208
3.03	 B0:207	 B1:296	 B2:129
2.83	 D0:19	 D1:110	 D2:47

2.96	 C0:58	 C1:263	 C2:114
2.96	 A0:76	 A1:489	 A2:207
3.06	 B0:207	 B1:296	 B2:129
2.85	 D0:19	 D1:110	 D2:47

2.99	 C0:58	 C1:263	 C2:113
2.99	 A0:76	 A1:488	 A2:208
3.09	 B0:207	 B1:296	 B2:129
2.88	 D0:19	 D1:110	 D2:47

3.02	 C0:58	 C1:263	 C2:114
3.02	 A0:76	 A1:489	 A2:208
3.12	 B0:207	 B1:296	 B2:129
2.91	 D0:19	 D1:110	 D2:47

3.05	 C0:59	 C1:263	 C2:114
3.05	 A0:76	 A1:489	 A2:208
3.16	 B0:207	 B1:296	 B2:129
2.94	 D0:19	 D1:110	 D2:47

3.08	 C0:58	 C1:263	 C2:114
3.08	 A0:76	 A1:489	 A2:208
3.19	 B0:207	 B1:296	 B2:129
2.97	 D0:19	 D1:110	 D2:47

3.11	 C0:58	 C1:263	 C2:114
3.11	 A0:76	 A1:489	 A2:208
3.22	 B0:207	 B1:296	 B2:129
3.00	 D0:19	 D1:110	 D2:47

3.14	 C0:58	 C1:264	 C2:114
3.14	 A0:76	 A1:489	 A2:208
3.25	 B0:207	 B1:296	 B2:129
3.03	 D0:19	 D1:110	 D2:47

3.17	 C0:58	 C1:263	 C2:114
3.17	 A0:77	 A1:489	 A2:207
3.28	 B0:207	 B1:296	 B2:129
3.06	 D0:19	 D1:110	 D2:47

3.20	 C0:59	 C1:263	 C2:114
3.20	 A0:76	 A1:489	 A2:208
3.31	 B0:207	 B1:296	 B2:129
3.09	 D0:19	 D1:110	 D2:47

3.23	 C0:58	 C1:263	 C2:114
3.23	 A0:76	 A1:489	 A2:208
3.34	 B0:207	 B1:296	 B2:129
3.12	 D0:19	 D1:110	 D2:47

3.26	 C0:58	 C1:263	 C2:113
3.26	 A0:76	 A1:489	 A2:207
3.37	 B0:207	 B1:296	 B2:129
3.14	 D0:19	 D1:110	 D2:47

3.29	 C0:58	 C1:263	 C2:114
3.29	 A0:76	 A1:489	 A2:208
3.40	 B0:207	 B1:296	 B2:129
3.17	 D0:19	 D1:110	 D2:47

3.32	 C0:58	 C1:264	 C2:113
3.32	 A0:76	 A1:489	 A2:208
3.44	 B0:207	 B1:296	 B2:129
3.20	 D0:19	 D1:110	 D2:47

3.35	 C0:58	 C1:263	 C2:114
3.35	 A0:76	 A1:489	 A2:208
3.47	 B0:207	 B1:296	 B2:129
3.23	 D0:19	 D1:110	 D2:47

3.38	 C0:58	 C1:263	 C2:113
3.38	 A0:76	 A1:489	 A2:208
3.50	 B0:207	 B1:296	 B2:129
3.26	 D0:19	 D1:110	 D2:47

3.41	 C0:58	 C1:263	 C2:114
3.41	 A0:76	 A1:489	 A2:208
3.53	 B0:207	 B1:296	 B2:129
3.29	 D0:19	 D1:110	 D2:47

3.44	 C0:58	 C1:263	 C2:114
3.44	 A0:76	 A1:489	 A2:207
3.56	 B0:207	 B1:296	 B2:129
