3.12	 A0:740	 A1:770	 A2:115

3.16	 B0:231	 B1:310	 B2:229
3.05	 C0:58	 C1:141	 C2:360
3.05	 D0:34	 D1:258	 D2:108
3.16	 A0:740	 A1:770	 A2:115

3.19	 B0:239	 B1:311	 B2:229
3.08	 C0:58	 C1:140	 C2:360
3.08	 D0:34	 D1:258	 D2:108
3.19	 A0:740	 A1:770	 A2:115

3.22	 B0:232	 B1:311	 B2:229
3.11	 C0:58	 C1:141	 C2:360
3.11	 D0:34	 D1:258	 D2:108
3.22	 A0:740	 A1:770	 A2:115

3.25	 B0:219	 B1:310	 B2:229
3.14	 C0:58	 C1:140	 C2:360
3.14	 D0:34	 D1:258	 D2:108
3.25	 A0:740	 A1:770	 A2:115

3.28	 B0:212	 B1:310	 B2:229
3.17	 C0:58	 C1:140	 C2:360
3.17	 D0:35	 D1:258	 D2:108
3.28	 A0:740	 A1:770	 A2:115

3.31	 B0:218	 B1:310	 B2:229
3.20	 C0:58	 C1:140	 C2:360
3.20	 D0:34	 D1:258	 D2:108
3.31	 A0:740	 A1:771	 A2:115

3.34	 B0:223	 B1:311	 B2:229
3.23	 C0:58	 C1:140	 C2:360
3.23	 D0:34	 D1:258	 D2:108
3.34	 A0:740	 A1:770	 A2:115

3.37	 B0:226	 B1:311	 B2:228
3.26	 C0:58	 C1:141	 C2:360
3.26	 D0:34	 D1:258	 D2:108
3.37	 A0:740	 A1:770	 A2:115

3.40	 B0:231	 B1:311	 B2:229
3.29	 C0:58	 C1:140	 C2:360
3.29	 D0:34	 D1:258	 D2:108
3.40	 A0:740	 A1:770	 A2:115

3.44	 B0:239	 B1:310	 B2:229
3.32	 C0:58	 C1:141	 C2:360
3.32	 D0:34	 D1:258	 D2:108
3.44	 A0:740	 A1:770	 A2:115

3.47	 B0:233	 B1:310	 B2:229
3.35	 C0:58	 C1:140	 C2:360
3.35	 D0:34	 D1:258	 D2:108
3.47	 A0:740	 A1:770	 A2:115

3.50	 B0:220	 B1:310	 B2:229
3.38	 C0:58	 C1:141	 C2:360
3.38	 D0:34	 D1:258	 D2:108
3.50	 A0:740	 A1:770	 A2:115

3.53	 B0:211	 B1:310	 B2:229
3.41	 C0:58	 C1:140	 C2:360
3.41	 D0:34	 D1:258	 D2:108
3.53	 A0:740	 A1:770	 A2:115

3.56	 B0:217	 B1:310	 B2:229
3.44	 C0:58	 C1:141	 C2:360
3.44	 D0:34	 D1:258	 D2:108
3.56	 A0:740	 A1:770	 A2:115

3.59	 B0:223	 B1:311	 B2:229
3.47	 C0:59	 C1:140	 C2:360
3.47	 D0:34	 D1:258	 D2:108
