3.65	 C0:51	 C1:128	 C2:334

3.65	 D0:33	 D1:247	 D2:105

3.84	 A0:729	 A1:761	 A2:98


3.68	 B0:28	 B1:294	 B2:206

3.68	 C0:51	 C1:128	 C2:334

3.68	 D0:33	 D1:246	 D2:105

3.87	 A0:729	 A1:761	 A2:98


3.71	 B0:27	 B1:295	 B2:206

3.71	 C0:51	 C1:128	 C2:334

3.71	 D0:33	 D1:247	 D2:105

3.90	 A0:729	 A1:761	 A2:98


3.74	 B0:27	 B1:294	 B2:206

3.74	 C0:51	 C1:128	 C2:334

3.74	 D0:33	 D1:247	 D2:105

3.93	 A0:729	 A1:761	 A2:98


3.77	 B0:27	 B1:294	 B2:206

3.77	 C0:51	 C1:127	 C2:334

3.77	 D0:33	 D1:246	 D2:105

3.96	 A0:729	 A1:761	 A2:98


3.80	 B0:27	 B1:295	 B2:206

3.80	 C0:51	 C1:127	 C2:334

3.80	 D0:33	 D1:247	 D2:105

3.99	 A0:729	 A1:761	 A2:98


3.83	 B0:27	 B1:294	 B2:206

3.83	 C0:51	 C1:128	 C2:334

3.83	 D0:33	 D1:247	 D2:105

4.02	 A0:729	 A1:761	 A2:98


3.86	 B0:27	 B1:294	 B2:206

3.86	 C0:51	 C1:127	 C2:334

3.86	 D0:33	 D1:247	 D2:105

4.05	 A0:729	 A1:761	 A2:98


3.89	 B0:28	 B1:294	 B2:206

3.89	 C0:50	 C1:127	 C2:334

3.89	 D0:33	 D1:246	 D2:105

4.08	 A0:729	 A1:761	 A2:98


3.92	 B0:27	 B1:294	 B2:206

3.92	 C0:51	 C1:127	 C2:334

3.92	 D0:33	 D1:247	 D2:105

4.11	 A0:729	 A1:761	 A2:98


3.95	 B0:27	 B1:294	 B2:206

3.95	 C0:50	 C1:127	 C2:334

3.95	 D0:33	 D1:247	 D2:105

4.14	 A0:729	 A1:761	 A2:98


3.98	 B0:27	 B1:294	 B2:206

3.98	 C0:51	 C1:128	 C2:334

3.98	 D0:33	 D1:246	 D2:105

4.17	 A0:729	 A1:761	 A2:98


4.01	 B0:28	 B1:294	 B2:206

4.01	 C0:50	 C1:127	 C2:334

4.01	 D0:33	 D1:247	 D2:105

4.20	 A0:729	 A1:761	 A2:98


4.04	 B0:28	 B1:294	 B2:206

4.04	 C0:51	 C1:128	 C2:334

4.04	 D0:33	 D1:247	 D2:105

4.23	 A0:729	 A1:761	 A2:98


4.07	 B0:28	 B1:294	 B2:206

4.07	 C0:51	 C1:127	 C2:334

4.07	 D0:33	 D1:247	 D2:105

4.26	 A0:729	 A1:761	 A2:98


4.10	 B0:28	 B1:294	 B2:206

4.10	 C0:51	 C1:127	 C2:334

4.10	 D0:33	 D1:247	 D2:105

4.29	 A0:729	 A1:761	 A2:98


4.13	 B0:27	 B1:294	 B2:206

4.13	 C0:51	 C1:127	 C2:334

4.13	 D0:33	 D1:247	 D2:105

4.32	 A0:729	 A1:761	 A2:98


4.16	 B0:28	 B1:294	 B2:206

4.16	 C0:51	 C1:127	 C2:334

4.16	 D0:33	 D1:246	 D2:105

4.35	 A0:729	 A1:761	 A2:98


4.19	 B0:27	 B1:294	 B2:206

4.19	 C0:51	 C1:128	 C2:334

4.19	 D0:33	 D1:247	 D2:105

4.38	 A0:729	 A1:761	 A2:98


4.23	 B0:27	 B1:294	 B2:206

4.23	 C0:51	 C1:127	 C2:334

4.23	 D0:33	 D1:246	 D2:105

4.41	 A0:729	 A1:761	 A2:98


4.25	 B0:27	 B1:294	 B2:206

4.25	 C0:51	 C1:127	 C2:334

4.25	 D0:33	 D1:247	 D2:105

4.44	 A0:729	 A1:761	 A2:98


4.28	 B0:28	 B1:294	 B2:206

4.28	 C0:51	 C1:127	 C2:334

4.28	 D0:33	 D1:247	 D2:106

4.47	 A0:729	 A1:761	 A2:98


4.32	 B0:27	 B1:294	 B2:206

4.32	 C0:51	 C1:127	 C2:334

4.32	 D0:33	 D1:246	 D2:105

4.50	 A0:729	 A1:761	 A2:98


4.34	 B0:28	 B1:294	 B2:206

4.34	 C0:51	 C1:127	 C2:334

4.34	 D0:33	 D1:247	 D2:105

4.53	 A0:729	 A1:761	 A2:98


4.38	 B0:27	 B1:294	 B2:205

4.38	 C0:51	 C1:127	 C2:334

4.38	 D0:33	 D1:247	 D2:105

4.56	 A0:729	 A1:761	 A2:98


4.41	 B0:27	 B1:294	 B2:205

4.41	 C0:51	 C1:127	 C2:334

4.41	 D0:33	 D1:246	 D2:105

4.59	 A0:729	 A1:761	 A2:98


4.44	 B0:27	 B1:294	 B2:206

4.44	 C0:51	 C1:127	 C2:334

4.44	 D0:33	 D1:247	 D2:105

4.62	 A0:729	 A1:761	 A2:98


4.47	 B0:27	 B1:294	 B2:206

4.47	 C0:51	 C1:128	 C2:334

