4.34	 C0:719	 C1:751	 C2:154
4.19	 D0:28	 D1:127	 D2:125

4.37	 C0:719	 C1:751	 C2:155
4.23	 D0:28	 D1:127	 D2:125

4.40	 C0:719	 C1:751	 C2:155
4.25	 D0:29	 D1:127	 D2:125

4.43	 C0:719	 C1:751	 C2:155
4.28	 D0:28	 D1:127	 D2:125

4.47	 C0:718	 C1:751	 C2:155
4.32	 D0:29	 D1:127	 D2:125

4.50	 C0:719	 C1:751	 C2:154
4.34	 D0:28	 D1:127	 D2:125

4.53	 C0:719	 C1:751	 C2:154
4.38	 D0:28	 D1:127	 D2:125

4.56	 C0:719	 C1:751	 C2:154
4.41	 D0:28	 D1:127	 D2:125

4.59	 C0:719	 C1:751	 C2:154
4.44	 D0:28	 D1:127	 D2:125

4.62	 C0:719	 C1:751	 C2:155
4.47	 D0:28	 D1:127	 D2:125

4.65	 C0:719	 C1:751	 C2:154
4.50	 D0:28	 D1:127	 D2:125

4.68	 C0:719	 C1:751	 C2:155
4.53	 D0:28	 D1:127	 D2:125

4.72	 C0:719	 C1:751	 C2:154
4.56	 D0:28	 D1:127	 D2:125

4.75	 C0:719	 C1:751	 C2:155
4.59	 D0:28	 D1:127	 D2:125

4.78	 C0:719	 C1:751	 C2:154
4.62	 D0:28	 D1:127	 D2:125

4.81	 C0:719	 C1:751	 C2:154
4.65	 D0:28	 D1:127	 D2:125

4.84	 C0:718	 C1:751	 C2:154
4.68	 D0:28	 D1:127	 D2:125

4.87	 C0:719	 C1:751	 C2:155
4.71	 D0:28	 D1:127	 D2:125

4.90	 C0:719	 C1:751	 C2:154
4.74	 D0:29	 D1:127	 D2:125

4.93	 C0:719	 C1:751	 C2:155
4.77	 D0:28	 D1:127	 D2:125

4.97	 C0:719	 C1:751	 C2:155
4.80	 D0:28	 D1:127	 D2:125

5.00	 C0:719	 C1:751	 C2:155
4.83	 D0:28	 D1:127	 D2:125

5.03	 C0:718	 C1:751	 C2:155
4.86	 D0:28	 D1:127	 D2:125

5.06	 C0:719	 C1:751	 C2:155
4.89	 D0:28	 D1:127	 D2:125

5.09	 C0:719	 C1:751	 C2:155
4.92	 D0:28	 D1:127	 D2:125

5.12	 C0:719	 C1:751	 C2:154
4.95	 D0:28	 D1:127	 D2:125

5.15	 C0:719	 C1:751	 C2:155
4.98	 D0:28	 D1:126	 D2:125

5.18	 C0:719	 C1:751	 C2:154
5.01	 D0:28	 D1:127	 D2:125

5.22	 C0:719	 C1:751	 C2:155
5.04	 D0:28	 D1:127	 D2:125

5.25	 C0:719	 C1:751	 C2:155
5.07	 D0:28	 D1:127	 D2:125

5.28	 C0:719	 C1:751	 C2:155
5.10	 D0:28	 D1:127	 D2:125

5.31	 C0:719	 C1:751	 C2:154
5.13	 D0:28	 D1:127	 D2:125

5.34	 C0:719	 C1:751	 C2:154
5.16	 D0:28	 D1:127	 D2:125

5.37	 C0:719	 C1:751	 C2:154
5.19	 D0:28	 D1:127	 D2:125

5.40	 C0:719	 C1:751	 C2:154
5.22	 D0:28	 D1:127	 D2:125

5.43	 C0:719	 C1:751	 C2:154
5.25	 D0:28	 D1:126	 D2:125

5.46	 C0:719	 C1:751	 C2:154
5.28	 D0:28	 D1:127	 D2:125

5.50	 C0:719	 C1:751	 C2:155
5.31	 D0:28	 D1:127	 D2:125

5.53	 C0:718	 C1:751	 C2:154
5.34	 D0:28	 D1:127	 D2:125

5.56	 C0:719	 C1:751	 C2:154
5.37	 D0:28	 D1:127	 D2:125

5.59	 C0:719	 C1:751	 C2:154
5.40	 D0:28	 D1:126	 D2:125

5.62	 C0:719	 C1:751	 C2:154
5.43	 D0:28	 D1:127	 D2:125

5.65	 C0:719	 C1:751	 C2:155
5.46	 D0:28	 D1:127	 D2:125

5.68	 C0:719	 C1:751	 C2:155
5.49	 D0:28	 D1:127	 D2:126

5.71	 C0:719	 C1:751	 C2:154
5.52	 D0:28	 D1:126	 D2:125

5.75	 C0:719	 C1:751	 C2:154
5.55	 D0:28	 D1:127	 D2:126

5.78	 C0:719	 C1:751	 C2:154
5.58	 D0:28	 D1:127	 D2:126

5.81	 C0:719	 C1:751	 C2:154
5.61	 D0:28	 D1:127	 D2:126

5.84	 C0:718	 C1:751	 C2:155
5.64	 D0:28	 D1:127	 D2:126

5.87	 C0:719	 C1:751	 C2:154
5.67	 D0:28	 D1:127	 D2:126

5.90	 C0:718	 C1:751	 C2:155
5.70	 D0:28	 D1:127	 D2:126

5.93	 C0:719	 C1:751	 C2:154
5.73	 D0:28	 D1:127	 D2:126

5.96	 C0:719	 C1:751	 C2:154
5.76	 D0:28	 D1:127	 D2:126

5.99	 C0:718	 C1:751	 C2:154
5.79	 D0:28	 D1:127	 D2:126

6.03	 C0:719	 C1:751	 C2:154
5.82	 D0:28	 D1:127	 D2:126

6.06	 C0:719	 C1:751	 C2:154
5.85	 D0:28	 D1:126	 D2:126

6.09	 C0:719	 C1:751	 C2:154
5.88	 D0:29	 D1:127	 D2:126

6.12	 C0:719	 C1:751	 C2:154
5.91	 D0:28	 D1:127	 D2:126

6.15	 C0:719	 C1:751	 C2:154
5.94	 D0:28	 D1:127	 D2:126

6.18	 C0:718	 C1:751	 C2:154
5.97	 D0:28	 D1:126	 D2:126

6.21	 C0:719	 C1:751	 C2:155
6.00	 D0:28	 D1:127	 D2:126

6.24	 C0:719	 C1:751	 C2:154
6.03	 D0:28	 D1:127	 D2:126

6.28	 C0:719	 C1:751	 C2:155
6.06	 D0:28	 D1:127	 D2:126

6.31	 C0:719	 C1:751	 C2:155
6.09	 D0:28	 D1:127	 D2:126

6.34	 C0:718	 C1:751	 C2:154
6.12	 D0:28	 D1:126	 D2:126

6.37	 C0:719	 C1:751	 C2:154
6.16	 D0:28	 D1:126	 D2:126

6.40	 C0:718	 C1:751	 C2:154
6.18	 D0:28	 D1:127	 D2:126

6.43	 C0:719	 C1:751	 C2:154
6.22	 D0:28	 D1:127	 D2:126

6.46	 C0:718	 C1:751	 C2:154
6.25	 D0:28	 D1:126	 D2:126

6.49	 C0:719	 C1:751	 C2:154
