3.35	 C0:47	 C1:127	 C2:300
3.35	 D0:30	 D1:231	 D2:109
3.35	 A0:726	 A1:758	 A2:71

3.38	 B0:21	 B1:260	 B2:180
3.38	 C0:47	 C1:127	 C2:300
3.38	 D0:30	 D1:231	 D2:110
3.38	 A0:726	 A1:757	 A2:71

3.41	 B0:21	 B1:260	 B2:180
3.41	 C0:47	 C1:127	 C2:300
3.41	 D0:30	 D1:231	 D2:110
3.41	 A0:726	 A1:757	 A2:71

3.44	 B0:21	 B1:261	 B2:180
3.44	 C0:47	 C1:127	 C2:300
3.44	 D0:31	 D1:231	 D2:109
3.44	 A0:726	 A1:757	 A2:71

3.47	 B0:21	 B1:260	 B2:180
3.47	 C0:47	 C1:127	 C2:300
3.47	 D0:30	 D1:231	 D2:110
3.47	 A0:726	 A1:757	 A2:71

3.50	 B0:21	 B1:260	 B2:180
3.50	 C0:47	 C1:127	 C2:300
3.50	 D0:30	 D1:231	 D2:110
3.50	 A0:726	 A1:758	 A2:71

3.53	 B0:21	 B1:260	 B2:180
3.53	 C0:47	 C1:127	 C2:300
3.53	 D0:30	 D1:231	 D2:109
3.53	 A0:726	 A1:757	 A2:71

3.56	 B0:21	 B1:260	 B2:180
3.56	 C0:47	 C1:127	 C2:300
3.56	 D0:30	 D1:231	 D2:110
3.56	 A0:726	 A1:758	 A2:71

3.59	 B0:21	 B1:260	 B2:180
3.59	 C0:47	 C1:127	 C2:300
3.59	 D0:31	 D1:231	 D2:110
3.59	 A0:726	 A1:757	 A2:71

3.62	 B0:21	 B1:260	 B2:180
3.62	 C0:47	 C1:127	 C2:300
3.62	 D0:30	 D1:231	 D2:110
3.62	 A0:726	 A1:757	 A2:71

3.65	 B0:21	 B1:260	 B2:180
3.65	 C0:47	 C1:127	 C2:300
3.65	 D0:30	 D1:231	 D2:110
3.65	 A0:726	 A1:757	 A2:71

3.68	 B0:21	 B1:260	 B2:180
3.68	 C0:47	 C1:127	 C2:300
3.68	 D0:30	 D1:231	 D2:109
3.68	 A0:726	 A1:758	 A2:71

3.71	 B0:21	 B1:260	 B2:180
3.71	 C0:47	 C1:127	 C2:300
3.71	 D0:30	 D1:231	 D2:109
3.71	 A0:726	 A1:758	 A2:71

3.74	 B0:21	 B1:260	 B2:180
3.74	 C0:47	 C1:127	 C2:300
3.74	 D0:31	 D1:231	 D2:110
3.74	 A0:726	 A1:757	 A2:71

3.77	 B0:21	 B1:260	 B2:180
3.77	 C0:47	 C1:127	 C2:300
3.77	 D0:30	 D1:231	 D2:109
3.77	 A0:726	 A1:757	 A2:71

3.80	 B0:21	 B1:260	 B2:180
3.80	 C0:47	 C1:127	 C2:300
3.80	 D0:30	 D1:231	 D2:109
3.80	 A0:726	 A1:758	 A2:71

3.83	 B0:21	 B1:261	 B2:180
3.83	 C0:47	 C1:127	 C2:300
3.83	 D0:31	 D1:231	 D2:109
3.83	 A0:726	 A1:757	 A2:71

3.86	 B0:21	 B1:260	 B2:180
3.86	 C0:47	 C1:127	 C2:300
3.86	 D0:30	 D1:231	 D2:109
3.86	 A0:726	 A1:757	 A2:71

3.89	 B0:21	 B1:260	 B2:180
3.89	 C0:47	 C1:127	 C2:300
3.89	 D0:30	 D1:231	 D2:110
3.89	 A0:726	 A1:758	 A2:71

3.92	 B0:21	 B1:260	 B2:180
3.92	 C0:47	 C1:127	 C2:300
3.92	 D0:31	 D1:231	 D2:110
3.92	 A0:726	 A1:758	 A2:71

3.95	 B0:21	 B1:260	 B2:180
3.95	 C0:47	 C1:127	 C2:300
3.95	 D0:30	 D1:231	 D2:109
3.95	 A0:726	 A1:758	 A2:71

3.98	 B0:21	 B1:260	 B2:180
3.98	 C0:47	 C1:127	 C2:300
3.98	 D0:31	 D1:231	 D2:109
3.98	 A0:726	 A1:758	 A2:71

4.01	 B0:21	 B1:260	 B2:180
4.01	 C0:47	 C1:127	 C2:300
4.01	 D0:30	 D1:231	 D2:109
4.01	 A0:725	 A1:757	 A2:71

4.04	 B0:21	 B1:260	 B2:180
4.04	 C0:47	 C1:127	 C2:300
4.04	 D0:31	 D1:231	 D2:110
4.04	 A0:726	 A1:758	 A2:71

4.07	 B0:21	 B1:260	 B2:180
4.07	 C0:47	 C1:127	 C2:300
4.07	 D0:30	 D1:231	 D2:110
4.07	 A0:726	 A1:757	 A2:71

4.10	 B0:21	 B1:260	 B2:180
4.10	 C0:47	 C1:127	 C2:300
4.10	 D0:30	 D1:231	 D2:109
4.10	 A0:726	 A1:758	 A2:71

4.13	 B0:21	 B1:261	 B2:180
4.13	 C0:46	 C1:127	 C2:300
4.13	 D0:30	 D1:231	 D2:110
4.13	 A0:726	 A1:758	 A2:71

4.16	 B0:21	 B1:260	 B2:180
4.16	 C0:47	 C1:127	 C2:300
4.16	 D0:31	 D1:231	 D2:110
4.16	 A0:726	 A1:757	 A2:71

4.19	 B0:21	 B1:260	 B2:180
4.19	 C0:47	 C1:127	 C2:300
4.19	 D0:30	 D1:231	 D2:109
4.19	 A0:725	 A1:758	 A2:71

4.23	 B0:21	 B1:260	 B2:180
4.23	 C0:47	 C1:127	 C2:300
4.23	 D0:31	 D1:231	 D2:110
4.23	 A0:726	 A1:758	 A2:71

4.25	 B0:21	 B1:260	 B2:180
4.25	 C0:47	 C1:127	 C2:300
4.25	 D0:30	 D1:231	 D2:110
4.25	 A0:726	 A1:757	 A2:71

4.28	 B0:21	 B1:260	 B2:180
4.28	 C0:47	 C1:127	 C2:300
4.28	 D0:30	 D1:231	 D2:109
4.28	 A0:726	 A1:757	 A2:71

4.32	 B0:22	 B1:260	 B2:180
4.32	 C0:47	 C1:127	 C2:300
4.32	 D0:30	 D1:231	 D2:110
4.32	 A0:726	 A1:758	 A2:71

4.34	 B0:21	 B1:260	 B2:180
4.34	 C0:47	 C1:127	 C2:300
4.34	 D0:30	 D1:231	 D2:110
4.34	 A0:726	 A1:758	 A2:71

4.38	 B0:21	 B1:260	 B2:180
4.38	 C0:47	 C1:127	 C2:300
4.38	 D0:31	 D1:231	 D2:110
4.38	 A0:726	 A1:758	 A2:71

4.41	 B0:21	 B1:260	 B2:180
4.41	 C0:47	 C1:127	 C2:300
4.41	 D0:31	 D1:231	 D2:109
4.41	 A0:726	 A1:757	 A2:71

4.44	 B0:21	 B1:260	 B2:180
4.44	 C0:47	 C1:127	 C2:300
4.44	 D0:30	 D1:231	 D2:110
4.44	 A0:726	 A1:758	 A2:71

4.47	 B0:21	 B1:260	 B2:180
4.47	 C0:47	 C1:127	 C2:300
4.47	 D0:30	 D1:231	 D2:110
4.47	 A0:726	 A1:757	 A2:71

4.50	 B0:21	 B1:260	 B2:180
4.50	 C0:47	 C1:127	 C2:300
4.50	 D0:30	 D1:231	 D2:109
4.50	 A0:726	 A1:758	 A2:71

4.53	 B0:21	 B1:260	 B2:180
4.53	 C0:47	 C1:127	 C2:300
4.53	 D0:30	 D1:231	 D2:110
4.53	 A0:726	 A1:758	 A2:71

4.56	 B0:21	 B1:261	 B2:180
4.56	 C0:47	 C1:127	 C2:300
4.56	 D0:31	 D1:231	 D2:110
4.56	 A0:726	 A1:758	 A2:71

4.59	 B0:21	 B1:260	 B2:180
