5.67	 C0:13	 C1:59	 C2:16	 T:22.20

5.14	 D0:9	 D1:134	 D2:62	 T:nan


5.58	 A0:16	 A1:210	 A2:48	 T:nan

5.58	 B0:69	 B1:140	 B2:59	 T:nan

5.74	 C0:12	 C1:60	 C2:16	 T:22.20

5.21	 D0:9	 D1:134	 D2:62	 T:nan


5.66	 A0:16	 A1:210	 A2:49	 T:nan

5.66	 B0:70	 B1:140	 B2:60	 T:nan

5.82	 C0:13	 C1:60	 C2:16	 T:22.20

5.28	 D0:9	 D1:134	 D2:62	 T:nan


5.73	 A0:16	 A1:210	 A2:48	 T:nan

5.73	 B0:69	 B1:140	 B2:60	 T:nan

5.89	 C0:12	 C1:59	 C2:16	 T:22.20

5.35	 D0:9	 D1:134	 D2:62	 T:nan


5.80	 A0:16	 A1:209	 A2:48	 T:nan

5.80	 B0:70	 B1:140	 B2:60	 T:nan

5.97	 C0:13	 C1:60	 C2:16	 T:22.20

5.42	 D0:9	 D1:134	 D2:62	 T:nan


5.87	 A0:16	 A1:210	 A2:48	 T:nan

5.87	 B0:70	 B1:140	 B2:60	 T:nan

6.04	 C0:13	 C1:60	 C2:17	 T:22.20

5.49	 D0:9	 D1:134	 D2:62	 T:nan


5.95	 A0:16	 A1:210	 A2:49	 T:nan

5.95	 B0:70	 B1:140	 B2:60	 T:nan

6.12	 C0:13	 C1:59	 C2:16	 T:22.20

5.56	 D0:9	 D1:134	 D2:62	 T:nan


6.02	 A0:16	 A1:210	 A2:49	 T:nan

6.02	 B0:70	 B1:140	 B2:60	 T:nan

6.19	 C0:13	 C1:59	 C2:16	 T:22.20

5.63	 D0:10	 D1:134	 D2:62	 T:nan


6.09	 A0:16	 A1:210	 A2:49	 T:nan

6.09	 B0:70	 B1:140	 B2:60	 T:nan

6.27	 C0:14	 C1:59	 C2:16	 T:22.20

5.70	 D0:9	 D1:134	 D2:62	 T:nan


6.16	 A0:16	 A1:210	 A2:48	 T:nan

6.16	 B0:70	 B1:140	 B2:60	 T:nan

6.34	 C0:13	 C1:59	 C2:16	 T:22.20

5.77	 D0:9	 D1:134	 D2:62	 T:nan


6.24	 A0:16	 A1:210	 A2:48	 T:nan

6.24	 B0:70	 B1:140	 B2:60	 T:nan

6.42	 C0:14	 C1:59	 C2:17	 T:22.20

5.84	 D0:9	 D1:134	 D2:62	 T:nan


6.31	 A0:16	 A1:210	 A2:48	 T:nan

6.31	 B0:70	 B1:140	 B2:60	 T:nan

6.49	 C0:13	 C1:59	 C2:16	 T:22.20

5.91	 D0:9	 D1:134	 D2:62	 T:nan


6.38	 A0:16	 A1:210	 A2:48	 T:nan

6.38	 B0:70	 B1:140	 B2:60	 T:nan

6.57	 C0:13	 C1:59	 C2:17	 T:22.20

5.99	 D0:9	 D1:134	 D2:62	 T:nan


6.45	 A0:16	 A1:210	 A2:49	 T:nan

6.45	 B0:70	 B1:140	 B2:60	 T:nan

6.64	 C0:14	 C1:60	 C2:16	 T:22.20

6.07	 D0:9	 D1:134	 D2:62	 T:nan


6.53	 A0:16	 A1:209	 A2:48	 T:nan

6.53	 B0:70	 B1:140	 B2:60	 T:nan

6.72	 C0:13	 C1:59	 C2:16	 T:22.20

6.13	 D0:9	 D1:134	 D2:62	 T:nan


