5.33	 B0:79	 B1:135	 B2:59	 T:nan
5.74	 C0:17	 C1:59	 C2:16	 T:22.20
5.22	 D0:12	 D1:130	 D2:73	 T:nan

5.51	 A0:23	 A1:196	 A2:58	 T:nan
5.40	 B0:79	 B1:135	 B2:59	 T:nan
5.82	 C0:17	 C1:59	 C2:16	 T:22.20
5.29	 D0:11	 D1:130	 D2:73	 T:nan

5.58	 A0:23	 A1:196	 A2:57	 T:nan
5.47	 B0:79	 B1:135	 B2:59	 T:nan
5.89	 C0:17	 C1:60	 C2:16	 T:22.20
5.36	 D0:12	 D1:130	 D2:73	 T:nan

5.66	 A0:22	 A1:196	 A2:57	 T:nan
5.55	 B0:79	 B1:135	 B2:59	 T:nan
5.97	 C0:18	 C1:60	 C2:16	 T:22.20
5.44	 D0:11	 D1:131	 D2:73	 T:nan

5.73	 A0:22	 A1:196	 A2:57	 T:nan
5.62	 B0:79	 B1:135	 B2:59	 T:nan
6.04	 C0:17	 C1:60	 C2:17	 T:22.20
5.51	 D0:11	 D1:130	 D2:72	 T:nan

5.80	 A0:22	 A1:196	 A2:57	 T:nan
5.69	 B0:79	 B1:135	 B2:59	 T:nan
6.12	 C0:18	 C1:59	 C2:17	 T:22.20
5.58	 D0:11	 D1:130	 D2:73	 T:nan

5.87	 A0:22	 A1:196	 A2:57	 T:nan
5.76	 B0:79	 B1:135	 B2:59	 T:nan
6.19	 C0:17	 C1:60	 C2:16	 T:22.20
5.66	 D0:11	 D1:131	 D2:73	 T:nan

5.95	 A0:23	 A1:196	 A2:57	 T:nan
5.84	 B0:79	 B1:135	 B2:59	 T:nan
6.27	 C0:16	 C1:59	 C2:17	 T:22.20
5.73	 D0:12	 D1:130	 D2:73	 T:nan

6.02	 A0:22	 A1:196	 A2:57	 T:nan
5.91	 B0:79	 B1:135	 B2:59	 T:nan
6.34	 C0:16	 C1:59	 C2:16	 T:22.20
5.80	 D0:11	 D1:130	 D2:73	 T:nan

6.09	 A0:22	 A1:196	 A2:57	 T:nan
5.98	 B0:79	 B1:135	 B2:59	 T:nan
6.42	 C0:17	 C1:59	 C2:16	 T:22.20
5.87	 D0:11	 D1:130	 D2:72	 T:nan

6.16	 A0:22	 A1:196	 A2:57	 T:nan
6.07	 B0:79	 B1:135	 B2:59	 T:nan
6.49	 C0:17	 C1:60	 C2:16	 T:22.20
5.95	 D0:12	 D1:131	 D2:73	 T:nan

6.24	 A0:22	 A1:196	 A2:57	 T:nan
6.13	 B0:79	 B1:135	 B2:59	 T:nan
6.57	 C0:17	 C1:59	 C2:17	 T:22.20
6.02	 D0:11	 D1:130	 D2:73	 T:nan

6.31	 A0:22	 A1:196	 A2:57	 T:nan
6.20	 B0:79	 B1:135	 B2:59	 T:nan
6.64	 C0:17	 C1:59	 C2:16	 T:22.20
6.09	 D0:12	 D1:130	 D2:73	 T:nan

