5.37	 C0:26	 C1:60	 C2:16	 T:22.60
5.18	 D0:13	 D1:130	 D2:64	 T:nan

5.29	 A0:21	 A1:198	 A2:56	 T:nan
5.29	 B0:80	 B1:136	 B2:60	 T:nan
5.44	 C0:26	 C1:60	 C2:16	 T:22.60
5.26	 D0:13	 D1:130	 D2:64	 T:nan

5.36	 A0:21	 A1:198	 A2:57	 T:nan
5.36	 B0:80	 B1:136	 B2:60	 T:nan
5.52	 C0:26	 C1:59	 C2:16	 T:22.60
5.33	 D0:13	 D1:130	 D2:64	 T:nan

5.44	 A0:21	 A1:198	 A2:56	 T:nan
5.44	 B0:80	 B1:136	 B2:60	 T:nan
5.59	 C0:26	 C1:59	 C2:17	 T:22.60
5.40	 D0:13	 D1:130	 D2:64	 T:nan

5.51	 A0:21	 A1:198	 A2:57	 T:nan
5.51	 B0:80	 B1:136	 B2:60	 T:nan
5.67	 C0:26	 C1:60	 C2:17	 T:22.60
5.47	 D0:13	 D1:130	 D2:64	 T:nan

5.58	 A0:22	 A1:198	 A2:56	 T:nan
5.58	 B0:80	 B1:136	 B2:60	 T:nan
5.74	 C0:26	 C1:60	 C2:17	 T:22.60
5.55	 D0:13	 D1:130	 D2:64	 T:nan

5.66	 A0:22	 A1:198	 A2:57	 T:nan
5.66	 B0:80	 B1:135	 B2:60	 T:nan
5.82	 C0:26	 C1:59	 C2:17	 T:22.60
5.62	 D0:13	 D1:130	 D2:64	 T:nan

5.73	 A0:21	 A1:198	 A2:57	 T:nan
5.73	 B0:80	 B1:136	 B2:60	 T:nan
5.89	 C0:26	 C1:60	 C2:17	 T:22.60
5.69	 D0:13	 D1:130	 D2:64	 T:nan

5.80	 A0:21	 A1:198	 A2:57	 T:nan
5.80	 B0:80	 B1:136	 B2:60	 T:nan
5.97	 C0:25	 C1:60	 C2:17	 T:22.60
5.76	 D0:13	 D1:130	 D2:64	 T:nan

5.87	 A0:22	 A1:198	 A2:56	 T:nan
5.87	 B0:80	 B1:135	 B2:60	 T:nan
6.04	 C0:25	 C1:59	 C2:17	 T:22.60
5.84	 D0:13	 D1:130	 D2:64	 T:nan

5.95	 A0:21	 A1:198	 A2:57	 T:nan
5.95	 B0:80	 B1:136	 B2:60	 T:nan
6.12	 C0:26	 C1:59	 C2:16	 T:22.60
5.91	 D0:13	 D1:130	 D2:64	 T:nan

6.02	 A0:21	 A1:198	 A2:56	 T:nan
6.02	 B0:80	 B1:135	 B2:60	 T:nan
6.19	 C0:26	 C1:59	 C2:16	 T:22.60
5.98	 D0:13	 D1:130	 D2:64	 T:nan

6.09	 A0:21	 A1:198	 A2:57	 T:nan
6.09	 B0:80	 B1:136	 B2:60	 T:nan
6.27	 C0:26	 C1:59	 C2:16	 T:22.60
6.07	 D0:13	 D1:130	 D2:65	 T:nan

6.16	 A0:22	 A1:198	 A2:57	 T:nan
6.16	 B0:80	 B1:136	 B2:60	 T:nan
6.34	 C0:25	 C1:59	 C2:17	 T:22.60
6.13	 D0:12	 D1:130	 D2:64	 T:nan

6.24	 A0:21	 A1:198	 A2:56	 T:nan
6.24	 B0:80	 B1:136	 B2:60	 T:nan
6.42	 C0:26	 C1:59	 C2:17	 T:22.60
6.20	 D0:13	 D1:130	 D2:64	 T:nan

6.31	 A0:21	 A1:198	 A2:57	 T:nan
6.31	 B0:80	 B1:136	 B2:60	 T:nan
6.49	 C0:26	 C1:59	 C2:16	 T:22.60
6.27	 D0:13	 D1:130	 D2:64	 T:nan

6.38	 A0:21	 A1:198	 A2:57	 T:nan
6.38	 B0:80	 B1:136	 B2:60	 T:nan
6.57	 C0:26	 C1:59	 C2:16	 T:22.60
6.34	 D0:13	 D1:130	 D2:64	 T:nan

6.45	 A0:21	 A1:198	 A2:56	 T:nan
6.45	 B0:80	 B1:135	 B2:60	 T:nan
6.64	 C0:26	 C1:59	 C2:16	 T:22.60
6.42	 D0:13	 D1:130	 D2:64	 T:nan

6.53	 A0:21	 A1:198	 A2:57	 T:nan
6.53	 B0:80	 B1:135	 B2:60	 T:nan
6.72	 C0:26	 C1:60	 C2:17	 T:22.60
6.49	 D0:13	 D1:130	 D2:64	 T:nan

6.60	 A0:21	 A1:198	 A2:57	 T:nan
6.60	 B0:80	 B1:136	 B2:60	 T:nan
6.79	 C0:26	 C1:59	 C2:17	 T:22.60
6.56	 D0:13	 D1:130	 D2:64	 T:nan

6.67	 A0:21	 A1:198	 A2:57	 T:nan
6.67	 B0:80	 B1:136	 B2:60	 T:nan
6.86	 C0:26	 C1:59	 C2:16	 T:22.60
6.64	 D0:12	 D1:130	 D2:64	 T:nan

6.75	 A0:21	 A1:198	 A2:56	 T:nan
6.75	 B0:80	 B1:136	 B2:60	 T:nan
6.94	 C0:26	 C1:59	 C2:17	 T:22.60
6.71	 D0:13	 D1:130	 D2:64	 T:nan

6.82	 A0:22	 A1:198	 A2:57	 T:nan
6.82	 B0:80	 B1:136	 B2:60	 T:nan
7.01	 C0:26	 C1:59	 C2:16	 T:22.60
6.78	 D0:13	 D1:130	 D2:64	 T:nan

6.89	 A0:21	 A1:198	 A2:56	 T:nan
6.89	 B0:80	 B1:136	 B2:60	 T:nan
7.09	 C0:25	 C1:60	 C2:16	 T:22.60
6.85	 D0:13	 D1:130	 D2:64	 T:nan

6.96	 A0:21	 A1:198	 A2:56	 T:nan
6.96	 B0:80	 B1:136	 B2:60	 T:nan
7.16	 C0:26	 C1:60	 C2:16	 T:22.60
6.93	 D0:13	 D1:130	 D2:64	 T:nan

7.04	 A0:21	 A1:198	 A2:57	 T:nan
7.04	 B0:80	 B1:136	 B2:60	 T:nan
7.24	 C0:26	 C1:60	 C2:17	 T:22.60
7.00	 D0:13	 D1:130	 D2:64	 T:nan

7.11	 A0:21	 A1:198	 A2:56	 T:nan
7.11	 B0:80	 B1:136	 B2:59	 T:nan
7.31	 C0:26	 C1:60	 C2:17	 T:22.60
