1.10	 A T:21.80
6.07	 B0:81	 B1:154	 B2:84	 T:nan
6.34	 C0:16	 C1:75	 C2:18	 T:21.80
6.16	 D0:13	 D1:215	 D2:83	 T:nan

6.40	 A0:28	 A1:185	 A2:67	 T:21.80
6.13	 B0:81	 B1:154	 B2:85	 T:nan
6.42	 C0:16	 C1:75	 C2:18	 T:21.80
6.24	 D0:13	 D1:215	 D2:83	 T:nan

6.48	 A0:28	 A1:185	 A2:68	 T:21.80
6.20	 B0:81	 B1:153	 B2:84	 T:nan
6.49	 C0:16	 C1:75	 C2:19	 T:21.80
6.31	 D0:13	 D1:215	 D2:83	 T:nan

6.56	 A0:28	 A1:185	 A2:68	 T:21.80
6.27	 B0:81	 B1:154	 B2:84	 T:nan
6.57	 C0:16	 C1:75	 C2:19	 T:21.80
6.38	 D0:13	 D1:216	 D2:83	 T:nan

6.63	 A0:28	 A1:185	 A2:68	 T:21.80
6.34	 B0:81	 B1:153	 B2:85	 T:nan
6.64	 C0:16	 C1:75	 C2:19	 T:21.80
6.45	 D0:13	 D1:215	 D2:83	 T:nan

6.71	 A0:27	 A1:185	 A2:68	 T:21.80
6.42	 B0:81	 B1:154	 B2:84	 T:nan
6.72	 C0:16	 C1:75	 C2:19	 T:21.80
6.53	 D0:13	 D1:215	 D2:83	 T:nan

6.79	 A0:28	 A1:185	 A2:68	 T:21.80
6.49	 B0:81	 B1:154	 B2:84	 T:nan
6.79	 C0:16	 C1:74	 C2:19	 T:21.80
6.60	 D0:13	 D1:216	 D2:83	 T:nan

6.86	 A0:28	 A1:185	 A2:68	 T:21.80
6.56	 B0:81	 B1:154	 B2:84	 T:nan
6.86	 C0:16	 C1:75	 C2:19	 T:21.80
6.67	 D0:13	 D1:215	 D2:83	 T:nan

6.94	 A0:27	 A1:185	 A2:68	 T:21.80
6.64	 B0:81	 B1:154	 B2:84	 T:nan
6.94	 C0:16	 C1:75	 C2:19	 T:21.80
6.75	 D0:13	 D1:216	 D2:83	 T:nan

7.02	 A0:28	 A1:185	 A2:68	 T:21.80
6.71	 B0:81	 B1:154	 B2:85	 T:nan
7.01	 C0:16	 C1:75	 C2:19	 T:21.80
6.82	 D0:13	 D1:215	 D2:83	 T:nan

7.09	 A0:27	 A1:185	 A2:68	 T:21.80
6.78	 B0:81	 B1:153	 B2:84	 T:nan
7.09	 C0:16	 C1:75	 C2:18	 T:21.80
6.89	 D0:13	 D1:215	 D2:83	 T:nan

7.17	 A0:28	 A1:185	 A2:68	 T:21.80
6.85	 B0:81	 B1:154	 B2:84	 T:nan
7.17	 C0:16	 C1:75	 C2:19	 T:21.80
6.96	 D0:13	 D1:215	 D2:83	 T:nan

7.25	 A0:28	 A1:185	 A2:68	 T:21.80
6.93	 B0:81	 B1:154	 B2:84	 T:nan
7.24	 C0:16	 C1:75	 C2:18	 T:21.80
7.04	 D0:14	 D1:215	 D2:83	 T:nan

7.32	 A0:27	 A1:185	 A2:68	 T:21.80
7.00	 B0:81	 B1:154	 B2:84	 T:nan
7.32	 C0:16	 C1:75	 C2:19	 T:21.80
7.11	 D0:13	 D1:215	 D2:83	 T:nan

7.40	 A0:28	 A1:185	 A2:68	 T:21.80
7.07	 B0:81	 B1:153	 B2:84	 T:nan
7.39	 C0:16	 C1:75	 C2:19	 T:21.80
7.18	 D0:13	 D1:215	 D2:83	 T:nan

7.48	 A0:28	 A1:185	 A2:68	 T:21.80
7.15	 B0:81	 B1:153	 B2:84	 T:nan
7.46	 C0:16	 C1:75	 C2:19	 T:21.80
7.26	 D0:13	 D1:215	 D2:84	 T:nan

7.56	 A0:28	 A1:185	 A2:68	 T:21.80
7.22	 B0:81	 B1:154	 B2:84	 T:nan
7.54	 C0:16	 C1:75	 C2:19	 T:21.80
7.33	 D0:13	 D1:215	 D2:83	 T:nan

7.63	 A0:27	 A1:185	 A2:68	 T:21.80
7.29	 B0:81	 B1:153	 B2:85	 T:nan
7.61	 C0:16	 C1:75	 C2:19	 T:21.80
7.40	 D0:14	 D1:215	 D2:84	 T:nan

7.71	 A0:27	 A1:185	 A2:68	 T:21.80
7.36	 B0:81	 B1:154	 B2:85	 T:nan
7.69	 C0:16	 C1:75	 C2:19	 T:21.80
7.47	 D0:13	 D1:215	 D2:84	 T:nan

7.79	 A0:28	 A1:185	 A2:68	 T:21.80
7.44	 B0:81	 B1:153	 B2:85	 T:nan
7.76	 C0:16	 C1:75	 C2:19	 T:21.80
7.55	 D0:13	 D1:215	 D2:83	 T:nan

7.86	 A0:28	 A1:185	 A2:68	 T:21.80
7.51	 B0:81	 B1:154	 B2:85	 T:nan
