,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_D,D0,D1,D2
177,5.28,50,380,109,5.46,143,289,105,5.28,55,143,374,5.28,35,258,108
178,5.31,50,380,110,5.50,143,289,105,5.31,55,142,373,5.31,34,258,108
179,5.34,50,380,109,5.53,143,289,105,5.34,55,143,373,5.34,34,258,108
180,5.37,50,380,109,5.56,143,289,105,5.37,55,143,373,5.37,34,258,108
181,5.40,50,380,109,5.59,143,289,105,5.40,55,142,373,5.40,34,258,108
182,5.43,50,380,110,5.62,143,289,105,5.43,55,142,373,5.43,34,258,108
183,5.46,50,380,109,5.65,143,289,105,5.46,55,143,373,5.46,34,258,108
184,5.49,50,380,109,5.68,143,289,105,5.49,55,143,373,5.49,34,258,108
185,5.52,50,380,109,5.71,143,289,105,5.52,55,143,373,5.52,34,258,108
186,5.55,50,380,109,5.75,143,289,105,5.55,55,143,374,5.55,34,258,108
187,5.58,50,380,109,5.78,143,289,105,5.58,55,143,374,5.58,34,258,108
188,5.61,50,380,110,5.81,143,289,105,5.61,55,142,373,5.61,34,258,108
189,5.64,50,380,109,5.84,143,289,106,5.64,55,143,373,5.64,34,258,108
190,5.67,50,380,109,5.87,143,289,105,5.67,55,142,373,5.67,34,258,108
191,5.70,50,380,109,5.90,143,289,105,5.70,55,143,373,5.70,34,258,108
192,5.73,50,380,109,5.93,143,289,105,5.73,55,142,373,5.73,35,258,108
193,5.76,50,380,109,5.96,143,289,105,5.76,55,143,373,5.76,34,258,108
194,5.79,50,380,109,5.99,143,289,105,5.79,55,143,373,5.79,34,258,108
195,5.82,50,380,109,6.03,143,289,105,5.82,55,143,373,5.82,34,258,108
196,5.85,50,380,109,6.06,143,289,106,5.85,55,143,374,5.85,34,258,108
197,5.88,50,380,109,6.09,143,289,105,5.88,55,143,374,5.88,34,258,108
198,5.91,50,380,110,6.12,143,289,105,5.91,55,143,374,5.91,34,258,108
199,5.94,50,380,109,6.15,143,289,105,5.94,55,143,373,5.94,34,258,108
200,5.97,50,380,109,6.18,143,289,106,5.97,55,143,373,5.97,34,258,108
201,6.00,50,380,109,6.21,143,289,105,6.00,55,143,373,6.00,34,258,108
202,6.03,50,380,109,6.24,143,289,106,6.03,55,143,373,6.03,34,258,108
203,6.06,50,380,109,6.28,143,289,105,6.06,55,143,373,6.06,34,258,108
204,6.09,50,380,109,6.31,143,289,105,6.09,55,143,373,6.09,34,258,108
205,6.12,50,380,109,6.34,143,289,106,6.12,55,143,373,6.12,34,258,108
206,6.16,50,380,109,6.37,143,289,105,6.16,55,143,373,6.16,34,258,108
207,6.18,50,380,109,6.40,143,289,105,6.18,55,143,373,6.18,34,258,108
208,6.22,50,380,109,6.43,143,289,106,6.22,55,143,373,6.22,34,258,108
209,6.25,50,380,109,6.46,143,289,105,6.25,55,143,373,6.25,34,258,108
210,6.28,50,380,109,6.49,143,289,106,6.28,55,143,373,6.28,34,258,108
211,6.30,50,380,109,6.52,143,289,105,6.30,55,143,373,6.30,34,258,108
212,6.34,50,380,109,6.56,143,289,105,6.34,55,143,373,6.34,34,258,108
213,6.37,50,380,109,6.59,143,289,105,6.37,55,143,373,6.37,34,258,108
214,6.40,50,380,109,6.62,143,289,105,6.40,55,142,374,6.40,34,258,108
215,6.43,50,380,109,6.65,143,289,106,6.43,55,143,373,6.43,34,258,108
216,6.46,50,380,110,6.68,143,289,106,6.46,55,142,373,6.46,34,258,108
217,6.49,50,380,109,6.71,143,289,105,6.49,55,142,373,6.49,34,258,108
218,6.52,50,380,109,6.74,143,289,105,6.52,55,142,374,6.52,34,258,108
219,6.55,50,380,109,6.77,143,289,105,6.55,55,143,373,6.55,35,258,108
220,6.58,50,380,109,6.80,143,289,105,6.58,55,143,373,6.58,34,258,108
221,6.61,50,380,109,6.84,143,289,106,6.61,55,142,373,6.61,34,258,108
222,6.64,50,380,109,6.87,143,289,106,6.64,55,143,373,6.64,34,258,108
223,6.67,50,380,109,6.90,143,289,105,6.67,55,143,373,6.67,34,258,108
224,6.70,50,380,109,6.93,143,289,106,6.70,55,142,373,6.70,34,258,108
225,6.73,50,380,109,6.96,143,289,106,6.73,55,143,373,6.73,34,258,108
226,6.76,50,380,109,6.99,143,289,106,6.76,55,143,373,6.76,35,258,108
227,6.79,50,380,109,7.02,143,289,106,6.79,55,142,373,6.79,34,258,108
228,6.82,50,380,109,7.05,143,289,106,6.82,55,142,373,6.82,34,258,108
229,6.85,50,380,109,7.09,143,289,106,6.85,55,142,373,6.85,34,258,108
230,6.88,50,380,109,7.12,143,289,106,6.88,54,142,374,6.88,34,258,108
231,6.91,50,380,109,7.15,143,289,106,6.91,55,143,373,6.91,34,258,108
232,6.94,50,380,109,7.18,143,289,106,6.94,55,142,373,6.94,35,258,108
233,6.97,50,380,109,7.21,143,289,106,6.97,55,143,373,6.97,35,258,108
234,7.00,50,380,109,7.24,143,289,106,7.00,54,143,373,7.00,34,258,108
235,7.03,50,380,109,7.27,143,289,106,7.03,55,142,373,7.03,34,258,108
236,7.06,50,380,109,7.30,143,289,106,7.06,55,142,373,7.06,34,258,108
237,7.09,50,380,109,7.34,143,289,106,7.09,54,142,373,7.09,34,258,108
238,7.12,50,380,109,7.37,143,289,106,7.12,55,142,373,7.12,34,258,108
239,7.15,50,380,109,7.40,143,289,106,7.15,55,142,373,7.15,34,258,108
240,7.18,50,380,109,7.43,143,289,106,7.18,55,142,373,7.18,34,258,108
241,7.21,50,380,109,7.46,143,289,106,7.21,55,142,373,7.21,34,258,108
242,7.24,50,380,109,7.49,143,289,106,7.24,55,142,373,7.24,34,258,108
243,7.27,50,380,109,7.52,143,289,106,7.27,55,142,373,7.27,34,258,108
244,7.30,50,380,109,7.55,143,289,106,7.30,55,143,373,7.30,34,258,108
245,7.33,50,380,109,7.59,143,289,106,7.33,55,142,373,7.33,34,258,108
246,7.36,50,380,109,7.62,143,289,106,7.36,55,142,373,7.36,35,258,108
247,7.39,50,380,109,7.65,143,289,106,7.39,55,142,373,7.39,34,258,108
248,7.42,50,380,109,7.68,144,289,106,7.42,55,143,373,7.42,34,258,108
249,7.45,50,380,109,7.71,143,289,106,7.45,55,142,374,7.45,34,258,108
250,7.48,50,380,109,7.74,143,289,106,7.48,55,142,374,7.48,34,258,108
251,7.51,50,380,109,7.77,144,289,106,7.51,55,142,373,7.51,34,258,108
252,7.54,50,380,109,7.80,143,289,106,7.54,55,142,373,7.54,34,258,108
253,7.57,50,380,109,7.84,143,289,106,7.57,55,143,373,7.57,34,258,108
254,7.60,50,380,109,7.87,143,289,106,7.60,54,142,373,7.60,34,258,108
255,7.63,50,380,109,7.90,143,289,106,7.63,55,143,373,7.63,34,258,108
256,7.66,50,380,109,7.93,143,289,106,7.66,55,143,374,7.66,35,258,108
257,7.69,50,380,109,7.96,144,289,106,7.69,54,142,373,7.69,34,258,108
258,7.72,50,380,109,7.99,143,289,106,7.72,55,142,373,7.72,34,258,108
259,7.75,50,380,109,8.02,143,289,106,7.75,55,143,373,7.75,34,258,108
260,7.78,50,380,109,8.05,143,289,106,7.78,55,142,373,7.78,34,258,108
261,7.81,50,379,109,8.09,143,289,106,7.81,55,142,373,7.81,34,258,108
262,7.84,50,379,109,8.12,143,289,106,7.84,55,142,373,7.84,34,258,108
263,7.87,50,380,109,8.15,143,289,106,7.87,54,142,373,7.87,34,258,108
264,7.90,50,380,109,8.18,143,289,106,7.90,55,142,373,7.90,34,258,108
265,7.93,50,379,109,8.21,144,289,106,7.93,55,143,373,7.93,34,258,108
266,7.96,50,380,109,8.24,143,289,106,7.96,55,142,373,7.96,34,258,108
267,7.99,50,380,109,8.27,144,289,106,7.99,55,143,373,7.99,34,258,108
268,8.02,50,379,109,8.30,144,289,106,8.02,55,143,373,8.02,34,258,108
269,8.05,50,379,109,8.33,143,290,106,8.05,54,142,373,8.05,35,258,108
270,8.09,50,379,109,8.37,144,289,106,8.09,54,143,373,8.09,34,258,108
271,8.11,50,380,109,8.40,144,290,106,8.11,55,142,373,8.11,34,258,108
272,8.15,50,380,109,8.43,144,289,106,8.15,55,143,373,8.15,35,258,108
273,8.18,50,380,109,8.46,144,289,106,8.18,55,143,373,8.18,34,258,108
274,8.21,50,379,109,8.49,144,289,106,8.21,55,143,373,8.21,34,258,108
275,8.24,50,380,109,8.52,143,289,107,8.24,54,143,373,8.24,34,258,108
276,8.27,50,379,109,8.55,144,289,106,8.27,54,142,373,8.27,34,258,108
277,8.30,50,379,109,8.58,144,289,107,8.30,54,143,373,8.30,34,258,108
278,8.33,50,379,109,8.61,144,289,106,8.33,54,143,373,8.33,34,258,108
279,8.36,50,380,109,8.65,143,289,106,8.36,55,143,373,8.36,34,258,108
280,8.39,50,379,109,8.68,144,289,106,8.39,54,143,373,8.39,34,258,108
281,8.42,50,379,109,8.71,144,290,106,8.42,55,142,374,8.42,34,258,108
282,8.45,50,380,109,8.74,144,289,106,8.45,55,143,373,8.45,34,258,108
283,8.48,50,379,109,8.77,144,289,107,8.48,55,143,373,8.48,34,258,108
284,8.51,50,379,109,8.80,144,289,107,8.51,55,143,373,8.51,34,258,108
285,8.54,50,379,109,8.83,144,289,107,8.54,54,142,374,8.54,34,258,108
286,8.57,50,379,109,8.86,143,289,107,8.57,55,143,373,8.57,34,258,108
287,8.60,50,379,109,8.90,144,290,107,8.60,54,142,373,8.60,35,258,108
288,8.63,50,379,109,8.93,144,289,106,8.63,54,143,373,8.63,34,258,108
289,8.66,50,379,109,8.96,144,289,107,8.66,54,142,373,8.66,34,258,108
290,8.69,50,379,109,8.99,144,289,106,8.69,54,142,373,8.69,34,259,108
291,8.72,50,379,109,9.02,144,289,107,8.72,55,143,373,8.72,34,258,108
292,8.75,50,379,109,9.05,144,289,107,8.75,54,142,373,8.75,34,258,108
293,8.78,50,379,109,9.08,144,290,107,8.78,54,143,373,8.78,34,258,108
294,8.81,50,380,109,9.11,144,290,107,8.81,55,143,373,8.81,34,258,108
295,8.84,50,379,109,9.15,144,290,107,8.84,55,143,373,8.84,34,258,108
296,8.87,50,379,109,9.18,144,290,107,8.87,55,143,374,8.87,34,258,108
297,8.90,50,379,109,9.21,144,290,107,8.90,54,142,373,8.90,34,259,108
298,8.93,50,379,109,9.24,144,290,107,8.93,55,142,373,8.93,34,258,108
299,8.96,50,380,109,9.27,144,290,107,8.96,55,142,373,8.96,34,258,108
300,8.99,50,380,109,9.30,144,290,107,8.99,55,142,373,8.99,34,258,108
