,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_C,C0,C1,C2
198,5.91,45,358,101,6.12,160,323,114,5.91,58,140,360,5.91,58,140,360
199,5.94,44,358,102,6.15,160,323,114,5.94,58,140,360,5.94,58,140,360
200,5.97,45,358,102,6.18,160,323,114,5.97,58,141,360,5.97,58,141,360
201,6.00,45,358,102,6.21,160,323,114,6.00,58,140,360,6.00,58,140,360
202,6.03,45,358,102,6.24,160,324,114,6.03,58,141,360,6.03,58,141,360
203,6.06,45,358,102,6.28,160,323,114,6.06,58,140,360,6.06,58,140,360
204,6.09,45,358,102,6.31,160,324,114,6.09,58,140,360,6.09,58,140,360
205,6.12,45,358,102,6.34,160,323,114,6.12,58,140,360,6.12,58,140,360
206,6.16,45,358,102,6.37,160,323,114,6.16,58,140,360,6.16,58,140,360
207,6.18,45,358,102,6.40,160,324,114,6.18,58,140,360,6.18,58,140,360
208,6.22,45,358,102,6.43,160,323,114,6.22,58,140,359,6.22,58,140,359
209,6.25,45,358,102,6.46,160,323,114,6.25,58,140,360,6.25,58,140,360
210,6.28,45,358,102,6.49,160,323,114,6.28,58,140,360,6.28,58,140,360
211,6.30,45,359,102,6.52,160,323,114,6.30,58,140,360,6.30,58,140,360
212,6.34,45,359,102,6.56,160,323,114,6.34,58,141,360,6.34,58,141,360
213,6.37,45,359,102,6.59,160,323,114,6.37,58,140,360,6.37,58,140,360
214,6.40,45,359,102,6.62,160,323,114,6.40,58,140,360,6.40,58,140,360
215,6.43,45,359,102,6.65,160,324,114,6.43,58,140,360,6.43,58,140,360
216,6.46,45,359,102,6.68,160,323,114,6.46,58,140,359,6.46,58,140,359
217,6.49,45,359,102,6.71,160,323,114,6.49,58,140,360,6.49,58,140,360
218,6.52,45,359,102,6.74,160,323,114,6.52,58,140,360,6.52,58,140,360
219,6.55,45,359,102,6.77,160,323,114,6.55,58,140,360,6.55,58,140,360
220,6.58,45,359,102,6.80,160,323,114,6.58,58,140,360,6.58,58,140,360
221,6.61,45,359,102,6.84,160,324,114,6.61,58,140,360,6.61,58,140,360
222,6.64,45,359,102,6.87,160,323,114,6.64,58,140,360,6.64,58,140,360
223,6.67,45,359,102,6.90,159,323,114,6.67,58,140,360,6.67,58,140,360
224,6.70,45,359,102,6.93,160,323,114,6.70,58,140,360,6.70,58,140,360
225,6.73,45,359,102,6.96,159,323,114,6.73,58,140,359,6.73,58,140,359
226,6.76,45,359,102,6.99,160,323,114,6.76,58,140,360,6.76,58,140,360
227,6.79,45,359,102,7.02,160,323,114,6.79,58,140,360,6.79,58,140,360
228,6.82,45,359,102,7.05,160,323,114,6.82,58,140,360,6.82,58,140,360
229,6.85,45,359,102,7.09,160,323,114,6.85,58,140,359,6.85,58,140,359
230,6.88,45,359,102,7.12,160,323,114,6.88,58,140,360,6.88,58,140,360
231,6.91,45,359,102,7.15,159,323,114,6.91,58,141,360,6.91,58,141,360
232,6.94,45,359,102,7.18,160,323,114,6.94,58,140,359,6.94,58,140,359
233,6.97,45,359,102,7.21,160,323,114,6.97,58,140,359,6.97,58,140,359
234,7.00,45,359,102,7.24,160,323,114,7.00,58,140,360,7.00,58,140,360
235,7.03,45,359,102,7.27,160,323,114,7.03,58,140,360,7.03,58,140,360
236,7.06,45,359,102,7.30,160,323,114,7.06,58,140,360,7.06,58,140,360
237,7.09,45,359,102,7.34,160,323,114,7.09,58,140,360,7.09,58,140,360
238,7.12,45,359,102,7.37,160,323,114,7.12,58,140,360,7.12,58,140,360
239,7.15,45,359,102,7.40,160,323,114,7.15,58,140,360,7.15,58,140,360
240,7.18,45,360,102,7.43,160,323,114,7.18,58,140,359,7.18,58,140,359
241,7.21,45,360,102,7.46,160,323,115,7.21,58,140,360,7.21,58,140,360
242,7.24,45,360,102,7.49,160,324,114,7.24,58,140,360,7.24,58,140,360
243,7.27,45,360,102,7.52,160,323,114,7.27,58,140,360,7.27,58,140,360
244,7.30,45,360,102,7.55,160,324,114,7.30,58,140,360,7.30,58,140,360
245,7.33,45,360,102,7.59,160,323,114,7.33,58,140,360,7.33,58,140,360
246,7.36,45,360,102,7.62,160,323,114,7.36,58,140,359,7.36,58,140,359
