7.83	 D0:15	 D1:191	 D2:79	 T:22.80

7.18	 A0:27	 A1:178	 A2:67	 T:nan
7.47	 B0:85	 B1:128	 B2:96	 T:nan
7.65	 C0:17	 C1:74	 C2:19	 T:23.00
7.90	 D0:15	 D1:191	 D2:79	 T:22.80

7.26	 A0:27	 A1:178	 A2:67	 T:nan
7.55	 B0:85	 B1:128	 B2:97	 T:nan
7.73	 C0:17	 C1:74	 C2:19	 T:23.00
7.98	 D0:15	 D1:191	 D2:79	 T:22.70

7.33	 A0:27	 A1:178	 A2:67	 T:nan
7.62	 B0:85	 B1:128	 B2:94	 T:nan
7.80	 C0:17	 C1:74	 C2:19	 T:23.00
8.06	 D0:15	 D1:191	 D2:79	 T:22.70

7.40	 A0:27	 A1:178	 A2:67	 T:nan
7.69	 B0:85	 B1:128	 B2:96	 T:nan
7.88	 C0:17	 C1:74	 C2:19	 T:23.00
8.13	 D0:15	 D1:191	 D2:79	 T:22.70

7.47	 A0:27	 A1:179	 A2:67	 T:nan
7.76	 B0:85	 B1:128	 B2:96	 T:nan
7.95	 C0:17	 C1:74	 C2:19	 T:23.00
8.21	 D0:15	 D1:191	 D2:79	 T:22.70

7.55	 A0:27	 A1:178	 A2:67	 T:nan
7.84	 B0:85	 B1:128	 B2:97	 T:nan
8.03	 C0:17	 C1:74	 C2:19	 T:23.00
8.29	 D0:15	 D1:191	 D2:79	 T:22.70

7.62	 A0:28	 A1:178	 A2:67	 T:nan
7.91	 B0:85	 B1:128	 B2:95	 T:nan
8.12	 C0:17	 C1:74	 C2:19	 T:23.00
8.36	 D0:15	 D1:191	 D2:79	 T:22.70

7.69	 A0:27	 A1:178	 A2:67	 T:nan
7.98	 B0:85	 B1:128	 B2:94	 T:nan
8.17	 C0:17	 C1:74	 C2:19	 T:23.00
8.44	 D0:15	 D1:191	 D2:79	 T:22.70

7.76	 A0:27	 A1:178	 A2:67	 T:nan
8.07	 B0:85	 B1:128	 B2:94	 T:nan
